Name	                        Künstler	Komponist	                                                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Dead	                        Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	12801889	72	    1	        1	                1	        16	                1999	03.01.18 09:04	03.01.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:01 Dead.aif
Falling Away From Me	        Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	47754977	270	    1	        1	                2	        16	                1999	03.01.18 09:04	03.01.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:02 Falling Away From Me.aif
Trash	                        Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	36540626	207	    1	        1	                3	        16	                1999	03.01.18 09:05	03.01.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:03 Trash.aif
4 U	                            Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	17999808	102	    1	        1	                4	        16	                1999	03.01.18 09:05	03.01.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:04 4 U.aif
Beg For Me	                    Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	41263447	233	    1	        1	                5	        16	                1999	03.01.18 09:06	03.01.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:05 Beg For Me.aif
Make Me Bad	                    Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	41543336	235	    1	        1	                6	        16	                1999	03.01.18 09:06	03.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:06 Make Me Bad.aif
It's Gonna Go Away	            Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	16026495	90	    1	        1	                7	        16	                1999	03.01.18 09:06	03.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:07 It's Gonna Go Away.aif
Wake Up	                        Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	43730692	247	    1	        1	                8	        16	                1999	03.01.18 09:07	03.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:08 Wake Up.aif
Am I Going Crazy	            Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	10464013	59	    1	        1	                9	        16	                1999	03.01.18 09:07	03.01.18 09:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:09 Am I Going Crazy.aif
Hey Daddy	                    Korn	    Brian Welch/David Silveria/James Shaffer/Jonathan Davis/Reginald Arvizu	Issues						                                            Metal	39609991	224	    1	        1	                10	        16	                1999	03.01.18 09:07	03.01.18 09:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Issues:10 Hey Daddy.aif
