Name	        Künstler	Komponist	                                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Here To Stay	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	47875332	270	    1	        1	                1	        14	                2002	03.01.18 09:26	03.01.18 09:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:01 Here To Stay.aif
Make Believe	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	48954900	277	    1	        1	                2	        14	                2002	03.01.18 09:26	03.01.18 09:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:02 Make Believe.aif
Blame	        Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	40821677	230	    1	        1	                3	        14	                2002	03.01.18 09:26	03.01.18 09:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:03 Blame.aif
Hollow Life	    Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	44025107	249	    1	        1	                4	        14	                2002	03.01.18 09:26	03.01.18 09:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:04 Hollow Life.aif
Bottled Up	    Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	42442210	240	    1	        1	                5	        14	                2002	03.01.18 09:26	03.01.18 09:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:05 Bottled Up.aif
Thoughtless	    Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	48221075	272	    1	        1	                6	        14	                2002	03.01.18 09:26	03.01.18 09:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:06 Thoughtless.aif
Hating	        Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	54844302	310	    1	        1	                7	        14	                2002	03.01.18 09:26	03.01.18 09:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:07 Hating.aif
One More Time	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	49373557	279	    1	        1	                8	        14	                2002	03.01.18 09:26	03.01.18 09:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:08 One More Time.aif
Alone I Break	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	45386917	256	    1	        1	                9	        14	                2002	03.01.18 09:26	03.01.18 09:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:09 Alone I Break.aif
Embrace	        Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	47179138	267	    1	        1	                10	        14	                2002	03.01.18 09:26	03.01.18 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:10 Embrace.aif
Beat It Upright	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	45151722	255	    1	        1	                11	        14	                2002	03.01.18 09:26	03.01.18 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:11 Beat It Upright.aif
Wake Up Hate	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	34054983	192	    1	        1	                12	        14	                2002	03.01.18 09:26	03.01.18 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:12 Wake Up Hate.aif
I'm Hiding	    Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	41962405	237	    1	        1	                13	        14	                2002	03.01.18 09:26	03.01.18 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:13 I'm Hiding.aif
No One's There	Korn	    Brian Welch/David Silveria/James Shaffer/Reggie Arvizu	Untouchables						                                    Metal	53183801	301	    1	        1	                14	        14	                2002	03.01.18 09:26	03.01.18 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Korn:Untouchables:14 No One's There.aif
