Name	Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	Datenrate	Abtastrate	Lautstärkeanpassung	Art	Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort,,
Bug Powder Dust (Dub)	Bomb The Bass	Tim Simenon ftr. Justin Wharfield	The K&D Sessions [Disc 2]						Electronica	67318065	380	2	2	4	11	1998	01.04.18,09:29	01.04.18,09:26	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-04 Bug Powder Dust (Dub).aif
1st Of Tha Month (K&D Session)	Bone Thugs-N-Harmony	Dj U/M. Powell/Nek	The K&D Sessions [Disc 2]						Electronica	61807330	349	2	2	7	11	1998	01.04.18,09:29	01.04.18,09:27	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-07 1st Of Tha Month (K&D Session).aif
Gone (K&D Session)	David Holmes	David Holmes	The K&D Sessions [Disc 2]						Electronica	90137144	509	2	2	1	11	1998	01.04.18,09:29	01.04.18,09:25	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-01 Gone (K&D Session).aif
Bomberclaad Joint (K&D Session)	Knowtoryus	J Krause/M Reinboth	The K&D Sessions [Disc 2]						Electronica	40399418	227	2	2	9	11	1998	01.04.18,09:29	01.04.18,09:28	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-09 Bomberclaad Joint (K&D Session).aif
Boogie Woogie	Kruder & Dorfmeister	Peter Kruder & Richard Dorfmeister	The K&D Sessions [Disc 2]						Electronica	35657793	200	2	2	5	11	1998	01.04.18,09:29	01.04.18,09:27	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-05 Boogie Woogie.aif
Lexicon	Kruder & Dorfmeister	Peter Kruder & Richard Dorfmeister	The K&D Sessions [Disc 2]						Electronica	11991963	66	2	2	8	11	1998	01.04.18,09:29	01.04.18,09:28	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-08 Lexicon.aif
East West (Stoned Together)	Mama Oliver	Kuhlwein Weber	The K&D Sessions [Disc 2]						Electronica	55080594	311	2	2	3	11	1998	01.04.18,09:29	01.04.18,09:26	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-03 East West (Stoned Together).aif
Going Under (Evil Love And Insanity Dub)	Rockers Hi-Fi	Wittingham/Plummer/Bush	The K&D Sessions [Disc 2]						Electronica	47970523	270	2	2	10	11	1998	01.04.18,09:29	01.04.18,09:28	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-10 Going Under (Evil Love And Insanity Dub).aif
Where Shall I Turn? (K&D Session Vol. 2)	Sin	Orel/Hansel!/Dorfmeister	The K&D Sessions [Disc 2]						Electronica	62548209	353	2	2	6	11	1998	01.04.18,09:29	01.04.18,09:27	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-06 Where Shall I Turn_ (K&D Session Vol. 2).aif
Sofa Rockers (Richard Dorfmeister Remix)	Sofa Surfers	Sofa Surfers	The K&D Sessions [Disc 2]						Electronica	47970510	270	2	2	2	11	1998	01.04.18,09:29	01.04.18,09:26	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-02 Sofa Rockers (Richard Dorfmeister Remix).aif
Million Town (K&D Session)	Strange Cargo	William Orbit	The K&D Sessions [Disc 2]						Electronica	79952995	452	2	2	11	11	1998	01.04.18,09:29	01.04.18,09:28	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 2]:2-11 Million Town (K&D Session).aif
