Name	                            ;Künstler	;Komponist	                                                                            ;Album	    ;Gruppierung	;Werk	;Nummer für Satz	;Satzzähler	;Name für Satz	;Genre	    ;Größe	    ;Dauer	    ;Disc-Nummer	;Anzahl der Discs	;Titelnummer	;Anzahl der Titel	;Jahr	;Geändert	    ;Hinzugefügt	;Datenrate	;Abtastrate	;Lautstärkeanpassung	;art	            ;Equalizer	;Kommentar	 ;Ort
Fat	                                ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;33458699	;189	    ;1	            ;1	                ;1	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:14	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:01 Fat.aif
Presidents	                        ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;31447746	;178	    ;1	            ;1	                ;2	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:14	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:02 Presidents.aif
Liar	                            ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;32553180	;184	    ;1	            ;1	                ;3	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:15	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:03 Liar.aif
Not Guilty	                        ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;45547986	;257	    ;1	            ;1	                ;4	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:15	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:04 Not Guilty.aif
Hear My Words	                    ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;30177669	;170	    ;1	            ;1	                ;5	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:15	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:05 Hear My Words.aif
Garbage Man	                        ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;30906787	;174	    ;1	            ;1	                ;6	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:15	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:06 Garbage Man.aif
Death Race	                        ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;29467362	;166	    ;1	            ;1	                ;7	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:16	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:07 Death Race.aif
Who the Fuck Is God	                ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;30048315	;170	    ;1	            ;1	                ;8	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:16	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:08 Who the Fuck Is God.aif
Fight Against Right Wing Mentality	;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;35093370	;198	    ;1	            ;1	                ;9	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:16	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:09 Fight Against Right Wing Mentality.aif
Privacy	                            ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;40350064	;228	    ;1	            ;1	                ;10	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:16	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:10 Privacy.aif
Rage	                            ;Landlords	;Marcus Lövenberg/Niklas Backlund/Patrik Niklasson/Rikard Niklasson/Ronnie Pettersson	;Mentality	;				;	    ;                   ;           ;               ;Crossover	;39413965	;223	    ;1	            ;1	                ;11	            ;13	                ;2010	;28.12.17 17:23	;28.12.17 17:16	;1411	    ;44100		;                       ;AIFF-Audiodatei	;			;			 ;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Landlords:Mentality:11 Rage.aif
