Name	                        ;Künstler	    ;Komponist	    ;Album	            ;Genre	;Größe	    ;Dauer	;Disc-Nummer	;Anzahl der Discs	;Titelnummer	;Anzahl der Titel	;Jahr	;Geändert	   ; Hinzugefügt	    ;Datenrate	;Abtastrate	;Art	            ;Ort
À la chaleur des missiles	    ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;25614503	;144	    ;1	        ;1	                ;1	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:37	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:01 À la chaleur des missiles.aif
Je suis pas menteur	            ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;29575259	;167	    ;1	        ;1	                ;2	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:38	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:02 Je suis pas menteur.aif
C'est pas ce qu'il nous faut	;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;26190749	;148	    ;1	        ;1	                ;3	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:39	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:03 C'est pas ce qu'il nous faut.aif
Pas besoin d'un dessin	        ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;28841441	;163	    ;1	        ;1	                ;4	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:39	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:04 Pas besoin d'un dessin.aif
Ca prend pas avec moi	        ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;23290719	;131	    ;1	        ;1	                ;5	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:40	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:05 Ca prend pas avec moi.aif
Y'a comme un problème	        ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;31080543	;175	    ;1	        ;1	                ;6	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:40	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:06 Y'a comme un problème.aif
État végétal	                ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;25249917	;142	    ;1	        ;1	                ;7	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:41	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:07 État végétal.aif
N'insiste pas	                ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;30393743	;172	    ;1	        ;1	                ;8	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:41	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:08 N'insiste pas.aif
C'est pour bientôt	            ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;28563897	;161	    ;1	        ;1	                ;9	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:42	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:09 C'est pour bientôt.aif
Gardez des munitions	        ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;31840238	;180	    ;1	        ;1	                ;10	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:42	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:10 Gardez des munitions.aif
Bon à rien	                    ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;25677978	;145	    ;1	        ;1	                ;11	            ;12	                ;1993	;01.04.18 07:45;	01.04.18 07:42	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:11 Bon à rien.aif
Sortez les bulldozer	        ;Les Sheriff	;Les Sheriff	;Soleil de plomb	;Punk	;25160558	;142	    ;1	        ;1	                ;12	            ;12	                ;1993	;01.04.18 07:46;	01.04.18 07:43	;1411	    ;44100		;AIFF-Audiodatei	;Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Les Sheriff:Soleil de plomb:12 Sortez les bulldozer.aif
