Name	            Künstler	    Komponist	                            Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
This Time	        Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	60471216	341	    1	        1	                1	        13	                1993	31.03.18 15:34	31.03.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:01 This Time.aif
Underground	        Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	49717874	280	    1	        1	                2	        13	                1993	31.03.18 15:34	31.03.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:02 Underground.aif
Monday	            Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	16230093	91	    1	        1	                3	        13	                1993	31.03.18 15:34	31.03.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:03 Monday.aif
River Runs Red	    Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	20498981	115	    1	        1	                4	        13	                1993	31.03.18 15:34	31.03.18 15:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:04 River Runs Red.aif
Through And Through	Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	33063370	186	    1	        1	                5	        13	                1993	31.03.18 15:34	31.03.18 15:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:05 Through And Through.aif
Words And Music	    Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	55437942	313	    1	        1	                6	        13	                1993	31.03.18 15:34	31.03.18 15:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:06 Words And Music.aif
Thursday	        Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	23222591	130	    1	        1	                7	        13	                1993	31.03.18 15:34	31.03.18 15:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:07 Thursday.aif
Bad Seed	        Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	60217199	340	    1	        1	                8	        13	                1993	31.03.18 15:34	31.03.18 15:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:08 Bad Seed.aif
My Eyes             Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	29695294	167	    1	        1	                9	        13	                1993	31.03.18 15:34	31.03.18 15:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:09 My Eyes.aif
Respect             Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	45319631	256	    1	        1	                10	        13	                1993	31.03.18 15:34	31.03.18 15:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:10 Respect.aif
Method Of Groove	Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	56143544	317	    1	        1	                11	        13	                1993	31.03.18 15:34	31.03.18 15:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:11 Method Of Groove.aif
The Stain Remains	Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	47982105	271	    1	        1	                12	        13	                1993	31.03.18 15:34	31.03.18 15:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:12 The Stain Remains.aif
Friday	            Life Of Agony	Alan Robert/Joey Zampella/Keith Caputo	River Runs Red						                                            Metal	38237758	215	    1	        1	                13	        13	                1993	31.03.18 15:34	31.03.18 15:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:River Runs Red:13 Friday.aif
