Name	                Künstler	    Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hope	                Life Of Agony		        Soul Searching Sun						                                            Metal	42962113	243	    1	        1	                1	        16	                1997	31.03.18 16:05	31.03.18 15:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:01 Hope.aif
Weeds	                Life Of Agony		        Soul Searching Sun						                                            Metal	43750034	247	    1	        1	                2	        16	                1997	31.03.18 16:05	31.03.18 15:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:02 Weeds.aif
Gently Sentimental	    Life Of Agony		        Soul Searching Sun						                                            Metal	35405151	200	    1	        1	                3	        16	                1997	31.03.18 16:05	31.03.18 15:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:03 Gently Sentimental.aif
Tangerine	            Life Of Agony		        Soul Searching Sun						                                            Metal	44086374	249	    1	        1	                4	        16	                1997	31.03.18 16:05	31.03.18 15:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:04 Tangerine.aif
My Mind Is Dangerous	Life Of Agony		        Soul Searching Sun						                                            Metal	43296113	245	    1	        1	                5	        16	                1997	31.03.18 16:05	31.03.18 15:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:05 My Mind Is Dangerous.aif
Neg	                    Life Of Agony		        Soul Searching Sun						                                            Metal	40245552	227	    1	        1	                6	        16	                1997	31.03.18 16:05	31.03.18 15:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:06 Neg.aif
Lead You Astray	        Life Of Agony		        Soul Searching Sun						                                            Metal	42357660	239	    1	        1	                7	        16	                1997	31.03.18 16:05	31.03.18 15:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:07 Lead You Astray.aif
Heroin Dreams	        Life Of Agony		        Soul Searching Sun						                                            Metal	61041946	345	    1	        1	                8	        16	                1997	31.03.18 16:05	31.03.18 15:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:08 Heroin Dreams.aif
None	                Life Of Agony		        Soul Searching Sun						                                            Metal	39629329	224	    1	        1	                9	        16	                1997	31.03.18 16:05	31.03.18 15:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:09 None.aif
Angry Tree	            Life Of Agony		        Soul Searching Sun						                                            Metal	42033080	237	    1	        1	                10	        16	                1997	31.03.18 16:05	31.03.18 15:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:10 Angry Tree.aif
Hemophiliac In Me	    Life Of Agony		        Soul Searching Sun						                                            Metal	38387487	217	    1	        1	                11	        16	                1997	31.03.18 16:05	31.03.18 15:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:11 Hemophiliac In Me.aif
Desire	                Life Of Agony		        Soul Searching Sun						                                            Metal	34071556	192	    1	        1	                12	        16	                1997	31.03.18 16:05	31.03.18 15:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:12 Desire.aif
Whispers	            Life Of Agony		        Soul Searching Sun						                                            Metal	55721718	315	    1	        1	                13	        16	                1997	31.03.18 16:05	31.03.18 15:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:13 Whispers.aif
[Hidden Track]	        Life Of Agony		        Soul Searching Sun						                                            Metal	34793628	196	    1	        1	                14	        16	                1997	31.03.18 16:05	31.03.18 15:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:14 [Hidden Track].aif
[Hidden Track]	        Life Of Agony		        Soul Searching Sun						                                            Metal	49818204	282	    1	        1	                15	        16	                1997	31.03.18 16:05	31.03.18 15:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:15 [Hidden Track].aif
[Hidden Track]	        Life Of Agony		        Soul Searching Sun						                                            Metal	48748044	275	    1	        1	                16	        16	                1997	31.03.18 16:05	31.03.18 15:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Life Of Agony:Soul Searching Sun:16 [Hidden Track].aif
