Name	                Künstler	    Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Re-Entry	            Limp Bizkit		            Results May Vary						                                            Crossover	27832256	157	    1	        1	                1	        16	                2003	03.01.18 11:22	03.01.18 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:01 Re-Entry.aif
Eat You Alive	        Limp Bizkit		            Results May Vary						                                            Crossover	41951317	237	    1	        1	                2	        16	                2003	03.01.18 11:22	03.01.18 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:02 Eat You Alive.aif
Gimme The Mic	        Limp Bizkit		            Results May Vary						                                            Crossover	32672677	185	    1	        1	                3	        16	                2003	03.01.18 11:22	03.01.18 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:03 Gimme The Mic.aif
Underneath The Gun	    Limp Bizkit		            Results May Vary						                                            Crossover	60426282	342	    1	        1	                4	        16	                2003	03.01.18 11:22	03.01.18 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:04 Underneath The Gun.aif
Down Another Day	    Limp Bizkit		            Results May Vary						                                            Crossover	43463656	246	    1	        1	                5	        16	                2003	03.01.18 11:22	03.01.18 11:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:05 Down Another Day.aif
Almost Over	            Limp Bizkit		            Results May Vary						                                            Crossover	49183715	278	    1	        1	                6	        16	                2003	03.01.18 11:22	03.01.18 11:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:06 Almost Over.aif
Build A Bridge	        Limp Bizkit		            Results May Vary						                                            Crossover	41786678	236	    1	        1	                7	        16	                2003	03.01.18 11:22	03.01.18 11:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:07 Build A Bridge.aif
Red Light - Green Light	Limp Bizkit		            Results May Vary						                                            Crossover	59349071	336	    1	        1	                8	        16	                2003	03.01.18 11:22	03.01.18 11:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:08 Red Light - Green Light.aif
Take It Home	        Limp Bizkit		            Results May Vary						                                            Crossover	43922292	248	    1	        1	                9	        16	                2003	03.01.18 11:22	03.01.18 11:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:09 Take It Home.aif
The Only One	        Limp Bizkit		            Results May Vary						                                            Crossover	45225303	256	    1	        1	                10	        16	                2003	03.01.18 11:22	03.01.18 11:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Limp Bizkit:Results May Vary:10 The Only One.aif
