Name	                Künstler	        Komponist	                        Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Saturday Nite Fever	    Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    43337287	245	    1	        1	                1	        12	                1995	03.01.18 08:19	03.01.18 08:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:01 Saturday Nite Fever.aif
Papers	                Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    37160922	210	    1	        1	                2	        12	                1995	03.01.18 08:19	03.01.18 08:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:02 Papers.aif
Brooklyn Pride	        Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    41530946	235	    1	        1	                3	        12	                1995	03.01.18 08:19	03.01.18 08:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:03 Brooklyn Pride.aif
The Bad Racket	        Lordz Of Brooklyn	Westerman/Nugent	                All In The Family						                                            Rap	    39844569	225	    1	        1	                4	        12	                1995	03.01.18 08:19	03.01.18 08:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:04 The Bad Racket.aif
White Trash	            Lordz Of Brooklyn	L. Coronel/Gene Simmons/Westerman	All In The Family						                                            Rap	    55090247	312	    1	        1	                5	        12	                1995	03.01.18 08:19	03.01.18 08:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:05 White Trash.aif
American Made	        Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    36173089	204	    1	        1	                6	        12	                1995	03.01.18 08:19	03.01.18 08:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:06 American Made.aif
Tales From The Rails	Lordz Of Brooklyn	Adam McLeer/Michael McLeer	        All In The Family						                                            Rap	    44724985	253	    1	        1	                7	        12	                1995	03.01.18 08:19	03.01.18 08:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:07 Tales From The Rails.aif
Out Ta Bomb	            Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    36667007	207	    1	        1	                8	        12	                1995	03.01.18 08:19	03.01.18 08:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:08 Out Ta Bomb.aif
Can Ya Dig It	        Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    30801121	174	    1	        1	                9	        12	                1995	03.01.18 08:19	03.01.18 08:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:09 Can Ya Dig It.aif
Pull Your Card	        Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    43052693	243	    1	        1	                10	        12	                1995	03.01.18 08:19	03.01.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:10 Pull Your Card.aif
Unda The Board Walk	    Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    40926490	231	    1	        1	                11	        12	                1995	03.01.18 08:19	03.01.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:11 Unda The Board Walk.aif
L.O.B. Sound	        Lordz Of Brooklyn	Westerman	                        All In The Family						                                            Rap	    44804931	253	    1	        1	                12	        12	                1995	03.01.18 08:19	03.01.18 08:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Lordz Of Brooklyn:All In The Family:12 L.O.B. Sound.aif
