Name	                            Künstler	Komponist	Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Set It Off	                        Madball		            Set It Off						                                            Punk	36408220	206	    1	        1	                1	        14	                1994	31.03.18 08:30	31.03.18 08:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:01 Set It Off.aif
Lockdown	                        Madball		            Set It Off						                                            Punk	18598874	105	    1	        1	                2	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:02 Lockdown.aif
New York City	                    Madball		            Set It Off						                                            Punk	21522415	121	    1	        1	                3	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:03 New York City.aif
Never Had It	                    Madball		            Set It Off						                                            Punk	10148142	57	    1	        1	                4	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:04 Never Had It.aif
It's Time	                        Madball		            Set It Off						                                            Punk	23944971	135	    1	        1	                5	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:05 It's Time.aif
C.T.Y.C. (R.I.P.)	                Madball		            Set It Off						                                            Punk	22891283	129	    1	        1	                6	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:06 C.T.Y.C. (R.I.P.).aif
Across Your Face	                Madball		            Set It Off						                                            Punk	12448402	70	    1	        1	                7	        14	                1994	31.03.18 08:30	31.03.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:07 Across Your Face.aif
Down By Law	                        Madball		            Set It Off						                                            Punk	29876717	169	    1	        1	                8	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:08 Down By Law.aif
Spit On Your Grave	                Madball		            Set It Off						                                            Punk	19356228	109	    1	        1	                9	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:09 Spit On Your Grave.aif
Face To Face	                    Madball		            Set It Off						                                            Punk	20075935	113	    1	        1	                10	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:10 Face To Face.aif
Smell The Bacon (What's With You?)	Madball		            Set It Off						                                            Punk	8360645	    47	    1	        1	                11	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:11 Smell The Bacon (What's With You_).aif
Get Out	                            Madball		            Set It Off						                                            Punk	9755354	    55	    1	        1	                12	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:12 Get Out.aif
This World Is Mine	                Madball		            Set It Off						                                            Punk	32205205	182	    1	        1	                13	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:13 This World Is Mine.aif
[Hidden Track]	                    Madball		            Set It Off						                                            Punk	17081841	96	    1	        1	                14	        14	                1994	31.03.18 08:30	31.03.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Set It Off:14 [Hidden Track].aif
