Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro,Madball,Cricien Freddy/Guerra Jorge,Hold It Down,,,,,,Punk,8841114,49,1,1,1,14,2000,"31.03.18, 08:54","31.03.18, 08:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:01 Intro.aif
"Can't Stop, Won't Stop",Madball,Freddy Cricien,Hold It Down,,,,,,Punk,10800334,60,1,1,2,14,2000,"31.03.18, 08:54","31.03.18, 08:51",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:02 Can't Stop, Won't Stop.aif"
Hold It Down,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,24517188,138,1,1,3,14,2000,"31.03.18, 08:54","31.03.18, 08:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:03 Hold It Down.aif
Fall This Time,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,26156534,147,1,1,4,14,2000,"31.03.18, 08:54","31.03.18, 08:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:04 Fall This Time.aif
Everyday Hate,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,13418101,75,1,1,5,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:05 Everyday Hate.aif
Done...,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,17315359,97,1,1,6,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:06 Done....aif
Say What?,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,19526241,110,1,1,7,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:07 Say What_.aif
D.I.F.M.M.,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,6954802,39,1,1,8,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:08 D.I.F.M.M..aif
Show No Fear,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,27379572,154,1,1,9,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:09 Show No Fear.aif
Never Look Back,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,18813594,106,1,1,10,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:10 Never Look Back.aif
Still Seraching,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,23538762,133,1,1,11,14,2000,"31.03.18, 08:54","31.03.18, 08:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:11 Still Seraching.aif
Confessions,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,18571334,104,1,1,12,14,2000,"31.03.18, 08:54","31.03.18, 08:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:12 Confessions.aif
Thinking Of Myself,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,38617437,218,1,1,13,14,2000,"31.03.18, 08:54","31.03.18, 08:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:13 Thinking Of Myself.aif
Semper Fi,Madball,Freddy Cricien,Hold It Down,,,,,,Punk,29496372,166,1,1,14,14,2000,"31.03.18, 08:54","31.03.18, 08:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Hold It Down:14 Semper Fi.aif
