Name	                Künstler	Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
We The People	        Madball		            Infiltrate The System						                                            Punk	26840184	150	    1	        1	                1	        13	                2007	31.03.18 09:03	31.03.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:01 We The People.aif
Infiltrate The System	Madball		            Infiltrate The System						                                            Punk	29864864	168	    1	        1	                2	        13	                2007	31.03.18 09:03	31.03.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:02 Infiltrate The System.aif
Revolt	                Madball		            Infiltrate The System						                                            Punk	37981601	214	    1	        1	                3	        13	                2007	31.03.18 09:03	31.03.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:03 Revolt.aif
No Escape	            Madball		            Infiltrate The System						                                            Punk	25993460	146	    1	        1	                4	        13	                2007	31.03.18 09:03	31.03.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:04 No Escape.aif
Takeover	            Madball		            Infiltrate The System						                                            Punk	30354067	170	    1	        1	                5	        13	                2007	31.03.18 09:03	31.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:05 Takeover.aif
Renegades	            Madball		            Infiltrate The System						                                            Punk	32581412	183	    1	        1	                6	        13	                2007	31.03.18 09:03	31.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:06 Renegades.aif
Set Me Free	            Madball		            Infiltrate The System						                                            Punk	36252886	204	    1	        1	                7	        13	                2007	31.03.18 09:03	31.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:07 Set Me Free.aif
The Messenger	        Madball		            Infiltrate The System						                                            Punk	21795144	122	    1	        1	                8	        13	                2007	31.03.18 09:03	31.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:08 The Messenger.aif
Liberty Or Death	    Madball		            Infiltrate The System						                                            Punk	28406619	159	    1	        1	                9	        13	                2007	31.03.18 09:03	31.03.18 09:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:09 Liberty Or Death.aif
A Novelty	            Madball		            Infiltrate The System						                                            Punk	24427029	137	    1	        1	                10	        13	                2007	31.03.18 09:03	31.03.18 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:10 A Novelty.aif
You're Gone	            Madball		            Infiltrate The System						                                            Punk	23227511	130	    1	        1	                11	        13	                2007	31.03.18 09:03	31.03.18 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:11 You're Gone.aif
P.Y.I.T.F. Part 3	    Madball		            Infiltrate The System						                                            Punk	3668285	    19	    1	        1	                12	        13	                2007	31.03.18 09:03	31.03.18 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:12 P.Y.I.T.F. Part 3.aif
Stand Up NY	            Madball		            Infiltrate The System						                                            Punk	29846039	167	    1	        1	                13	        13	                2007	31.03.18 09:03	31.03.18 09:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Madball:Infiltrate The System:13 Stand Up NY.aif
