Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
dr Eskimo,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,10979043,61,1,1,1,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:01 dr Eskimo.aif
bim Coiffeur,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,16042902,90,1,1,2,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:02 bim Coiffeur.aif
dr Ferdinand isch gstorbe,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,16713235,94,1,1,3,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:03 dr Ferdinand isch gstorbe.aif
i han en Uhr erfunde,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,19189886,108,1,1,4,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:04 i han en Uhr erfunde.aif
es git e Bueb mit Name Fritz,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,7062982,39,1,1,5,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:05 es git e Bueb mit Name Fritz.aif
si hei dr Wilhälm Täll ufgfüert,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,22969595,129,1,1,6,36,1966,"01.04.18, 07:20","01.04.18, 07:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:06 si hei dr Wilhälm Täll ufgfüert.aif
dr Hansjakobli und ds Babettli,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,15697176,88,1,1,7,36,1966,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:07 dr Hansjakobli und ds Babettli.aif
ds Lied vo de Bahnhöf,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,15019815,84,1,1,8,36,1966,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:08 ds Lied vo de Bahnhöf.aif
ds Heidi,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,16971938,95,1,1,9,36,1966,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:09 ds Heidi.aif
I han es Zündhölzli azündt,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,16560388,93,1,1,10,36,1967,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:10 I han es Zündhölzli azündt.aif
"die Strass, won i dran wohne",Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,17313001,97,1,1,11,36,1967,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:11 die Strass, won i dran wohne.aif"
alls wo mir i d Finger chunt,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,20046025,113,1,1,12,36,1967,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:12 alls wo mir i d Finger chunt.aif
Bärnhard Matter,Mani Matter,Mani Matter/hans peter matter,I Han Es Zündhölzli Azündt,,,,,,Chanson,21064446,119,1,1,13,36,1967,"01.04.18, 07:20","01.04.18, 07:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:I Han Es Zündhölzli Azündt:13 Bärnhard Matter.aif
