Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
D'Nase,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,16953581,95,1,1,1,20,1972,"01.04.18, 07:31","01.04.18, 07:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:01 D'Nase.aif
"Ballade Vo Däm, Wo Vom Amt Isch Ufbotte Gsi",Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,26683888,150,1,1,2,20,1972,"01.04.18, 07:31","01.04.18, 07:26",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:02 Ballade Vo Däm, Wo Vom Amt Isch Ufbotte Gsi.aif"
Hemmige,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,20813214,117,1,1,3,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:03 Hemmige.aif
Dynamit,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,24214206,136,1,1,4,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:04 Dynamit.aif
D'Psyche Vo Dr Frou,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,21175434,119,1,1,5,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:05 D'Psyche Vo Dr Frou.aif
Ds Lotti Schilet,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,22304391,126,1,1,6,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:06 Ds Lotti Schilet.aif
Ahneforschig,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,23409827,132,1,1,7,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:07 Ahneforschig.aif
Ds Lied Vo De Bahnhöf,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,27968036,158,1,1,8,20,1972,"01.04.18, 07:31","01.04.18, 07:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:08 Ds Lied Vo De Bahnhöf.aif
Dr Möntsch Isch Wie Dä,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,12896422,72,1,1,9,20,1972,"01.04.18, 07:31","01.04.18, 07:28",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:09 Dr Möntsch Isch Wie Dä.aif
Ir Ysebahn,Mani Matter,Mani Matter,Ir Ysebahn,,,,,,Chanson,21721092,122,1,1,10,20,1972,"01.04.18, 07:31","01.04.18, 07:28",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Mani Matter:Ir Ysebahn:10 Ir Ysebahn.aif
