Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Dankeschön [Album Version],Megavier,Bert Bera/Andreas Wilda/Axel Trapp/Gunnar Kalb/Thomas Dürr/Michael B. Scmidt/Gunnar Pelshenke/Michael DJ Beck,Megavier,,,,,,Rap,7203277,40,1,1,1,17,1994,"28.12.17, 15:50","28.12.17, 15:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:01 Dankeschön [Album Version].aif
Genug Ist Genug Ist Genug [Album Version],Megavier,Armin Sabol/Andreas Rieke/Thomas Dürr/Michael B. Schmidt/Michael DJ Beck,Megavier,,,,,,Rap,48259701,273,1,1,2,17,1994,"28.12.17, 15:50","28.12.17, 15:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:02 Genug Ist Genug Ist Genug [Album Version].aif
Frei [Album Version],Megavier,Andreas Rieke/Gunnar Pelshenke/Thomas Dürr/Bert Bera/Gunnar Kalb/Michael DJ Beck/Andreas Wilda/Axel Trapp/Michael B. Scmidt,Megavier,,,,,,Rap,26666070,150,1,1,3,17,1994,"28.12.17, 15:50","28.12.17, 15:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:03 Frei [Album Version].aif
"Schnell, Schnell, Schnell... [Album Version]",Megavier,Michael B. Scmidt/Bert Bera/Michael DJ Beck/Andreas Rieke/Gunnar Kalb/Thomas Dürr/Axel Trapp/Gunnar Pelshenke/Andreas Wilda,Megavier,,,,,,Rap,2960286,16,1,1,4,17,1994,"28.12.17, 15:50","28.12.17, 15:48",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:04 Schnell, Schnell, Schnell... [Album Version].aif"
Ideal Die Da [Album Version],Megavier,Andreas Rieke/Gunnar Pelshenke/Thomas Dürr/Andreas Wilda/Michael B. Scmidt/Bert Bera/Gunnar Kalb/Axel Trapp/Michael DJ Beck,Megavier,,,,,,Rap,42419774,240,1,1,5,17,1994,"28.12.17, 15:50","28.12.17, 15:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:05 Ideal Die Da [Album Version].aif
Basement 20:15 [Album Version],Megavier,Andreas Wilda/Gunnar Pelshenke/Gunnar Kalb/Bert Bera/Michael DJ Beck/Michael B. Scmidt/Thomas Dürr/Andreas Rieke/Axel Trapp,Megavier,,,,,,Rap,24525760,138,1,1,6,17,1994,"28.12.17, 15:50","28.12.17, 15:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:06 Basement 20_15 [Album Version].aif
Extrem Schizophren [Album Version],Megavier,Bert Bera/Gunnar Pelshenke/Andreas Wilda/Gunnar Kalb/Axel Trapp/Michael B. Scmidt/Michael DJ Beck/Thomas Dürr/Andreas Rieke,Megavier,,,,,,Rap,52345220,296,1,1,7,17,1994,"28.12.17, 15:50","28.12.17, 15:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:07 Extrem Schizophren [Album Version].aif
Gute Unterhaltung [Album Version],Megavier,Gunnar Pelshenke/Andreas Rieke/Andreas Wilda/Michael DJ Beck/Axel Trapp/Thomas Dürr/Gunnar Kalb/Michael B. Scmidt/Bert Bera,Megavier,,,,,,Rap,6041395,33,1,1,8,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:08 Gute Unterhaltung [Album Version].aif
Spiegel [Album Version],Megavier,Gunnar Kalb/Michael DJ Beck/Michael B. Scmidt/Bert Bera/Gunnar Pelshenke/Andreas Wilda/Thomas Dürr/Andreas Rieke/Axel Trapp,Megavier,,,,,,Rap,8637993,48,1,1,9,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:09 Spiegel [Album Version].aif
Spiesser '94 [Album Version],Megavier,Michael DJ Beck/Bert Bera/Michael B. Scmidt/Andreas Rieke/Andreas Wilda/Axel Trapp/Gunnar Pelshenke/Gunnar Kalb/Thomas Dürr,Megavier,,,,,,Rap,17001711,95,1,1,10,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:10 Spiesser '94 [Album Version].aif
Basemnet 18:40 [Album Version],Megavier,Bert Bera/Andreas Rieke/Axel Trapp/Gunnar Kalb/Thomas Dürr/Gunnar Pelshenke/Andreas Wilda/Michael B. Scmidt/Michael DJ Beck,Megavier,,,,,,Rap,15094241,85,1,1,11,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:11 Basemnet 18_40 [Album Version].aif
Sonne Overload [Album Version],Megavier,Michael DJ Beck/Bert Bera/Thomas Dürr/Gunnar Pelshenke/Axel Trapp/Andreas Wilda/Andreas Rieke/Gunnar Kalb/Michael B. Scmidt,Megavier,,,,,,Rap,36770273,208,1,1,12,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:12 Sonne Overload [Album Version].aif
Interview [Album Version],Megavier,Michael B. Scmidt/Thomas Dürr/Gunnar Pelshenke/Michael DJ Beck/Axel Trapp/Gunnar Kalb/Andreas Wilda/Bert Bera/Andreas Rieke,Megavier,,,,,,Rap,6309516,35,1,1,13,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:13 Interview [Album Version].aif
Tag Am Toten Meer [Album Version],Megavier,Axel Trapp/Michael DJ Beck/Michael B. Scmidt/Andreas Wilda/Thomas Dürr/Gunnar Kalb/Gunnar Pelshenke/Andreas Rieke/Bert Bera,Megavier,,,,,,Rap,47041460,266,1,1,14,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:14 Tag Am Toten Meer [Album Version].aif
Basement 22:30 [Album Version],Megavier,Andreas Wilda/Bert Bera/Andreas Rieke/Michael DJ Beck/Michael B. Scmidt/Gunnar Pelshenke/Axel Trapp/Thomas Dürr,Megavier,,,,,,Rap,19483049,110,1,1,15,17,1994,"28.12.17, 15:50","28.12.17, 15:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:15 Basement 22_30 [Album Version].aif
Zu Geil [Album Version],Megavier,Andreas Wilda/Bert Bera/Gunnar Kalb/Gunnar Pelshenke/Axel Trapp,Megavier,,,,,,Rap,15359824,86,1,1,16,17,1994,"28.12.17, 15:50","28.12.17, 15:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:16 Zu Geil [Album Version].aif
Experiment [Album Version],Megavier,Bert Bera/Michael DJ Beck/Andreas Wilda/Gunnar Kalb/Axel Trapp/Gunnar Pelshenke/Michael B. Scmidt/Thomas Dürr/Andreas Rieke,Megavier,,,,,,Rap,7410253,41,1,1,17,17,1994,"28.12.17, 15:50","28.12.17, 15:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Megavier:Megavier:17 Experiment [Album Version].aif
