Name	                Künstler	Komponist	                                        Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Frantic	                Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	61879362	350	    1	        1	                1	        11	                2003	25.02.18 10:34	25.02.18 10:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:01 Frantic.aif
St. Anger	            Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	77891780	441	    1	        1	                2	        11	                2003	25.02.18 10:34	25.02.18 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:02 St. Anger.aif
Some Kind Of Monster	Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	89251951	505	    1	        1	                3	        11	                2003	25.02.18 10:34	25.02.18 10:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:03 Some Kind Of Monster.aif
Dirty Window	        Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	57389399	324	    1	        1	                4	        11	                2003	25.02.18 10:34	25.02.18 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:04 Dirty Window.aif
Invisible Kid	        Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	90056328	510	    1	        1	                5	        11	                2003	25.02.18 10:34	25.02.18 10:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:05 Invisible Kid.aif
My World	            Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	61027939	345	    1	        1	                6	        11	                2003	25.02.18 10:34	25.02.18 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:06 My World.aif
Shoot Me Again	        Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	75946681	430	    1	        1	                7	        11	                2003	25.02.18 10:34	25.02.18 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:07 Shoot Me Again.aif
Sweet Amber	            Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	57782182	327	    1	        1	                8	        11	                2003	25.02.18 10:34	25.02.18 10:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:08 Sweet Amber.aif
The Unnamed Feeling	    Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	75822030	429	    1	        1	                9	        11	                2003	25.02.18 10:34	25.02.18 10:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:09 The Unnamed Feeling.aif
Purify	                Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	55453698	313	    1	        1	                10	        11	                2003	25.02.18 10:34	25.02.18 10:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:10 Purify.aif
All Within My Hands	    Metallica	James Hetfield, Lars Ulrich, Kirk Hammett,Bob Rock	St. Anger						                                            Metal	93196255	527	    1	        1	                11	        11	                2003	25.02.18 10:34	25.02.18 10:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Metallica:St. Anger:11 All Within My Hands.aif
