Name	            Künstler	                        Komponist	                                                            Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
The Motto	        Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    36492259	204	    1	        1	                    5	    17	                2004	25.02.18 10:16	25.02.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:05 The Motto.aif
We Some Dogs	    Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    48151126	270	    1	        1	                    6	    17	                2004	25.02.18 10:16	25.02.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:06 We Some Dogs.aif
Who Ya Rollin Wit	Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    47440830	266	    1	        1	                    11	    17	                2004	25.02.18 10:16	25.02.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:11 Who Ya Rollin Wit.aif
The Show	        Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    26912565	150	    1	        1	                    13	    17	                2004	25.02.18 10:16	25.02.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:13 The Show.aif
Act Right	        Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    35250406	197	    1	        1	                    14	    17	                2004	25.02.18 10:16	25.02.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:14 Act Right.aif
Ridin' For Outro	Method Man	                        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    10996589	60	    1	        1	                    17	    17	                2004	25.02.18 10:16	25.02.18 10:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:17 Ridin' For Outro.aif
What's Happenin'	Method Man Feat. Busta Rhymes	    A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    41356221	232	    1	        1	                    4	    17	                2004	25.02.18 10:16	25.02.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:04 What's Happenin'.aif
Tease	            Method Man Feat. Chinky	            A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    51559180	290	    1	        1	                    8	    17	                2004	25.02.18 10:16	25.02.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:08 Tease.aif
Afterparty	        Method Man Feat. Ghostface Killa	A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    34396653	192	    1	        1	                    15	    17	                2004	25.02.18 10:16	25.02.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:15 Afterparty.aif
Baby Come On	    Method Man Feat. Kardinal Offishall	A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    42974402	241	    1	        1	                    10	    17	                2004	25.02.18 10:16	25.02.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:10 Baby Come On.aif
Rodeo	            Method Man Feat. Ludacris	        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    31689486	177	    1	        1	                    9	    17	                2004	25.02.18 10:16	25.02.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:09 Rodeo.aif
Say What	        Method Man Feat. Missy Elliott	    A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    44693702	251	    1	        1	                    3	    17	                2004	25.02.18 10:16	25.02.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:03 Say What.aif
The Turn	        Method Man Feat. Raekwon	        A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    32390384	181	    1	        1	                    7	    17	                2004	25.02.18 10:16	25.02.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:07 The Turn.aif
Intro	            Method Man Feat. RZA	            A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    11130649	60	    1	        1	                    1	    17	                2004	25.02.18 10:16	25.02.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:01 Intro.aif
Never Hold Back	    Method Man Feat. Saukrates & E3	    A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    33131281	185	    1	        1	                    12	    17	                2004	25.02.18 10:16	25.02.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:12 Never Hold Back.aif
The Prequel	        Method Man Feat. Street Life	    A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    22817751	127	    1	        1	                    2	    17	                2004	25.02.18 10:16	25.02.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:02 The Prequel.aif
Crooked Letter I	Method Man Feat. Street Life	    A. Bakshi; Clifford Smith; H. Jordan; R.D. Burman; Trevor Smith/Booggz	Tical 0: The Prequel						                                            Rap	    40763519	228	    1	        1	                    16	    17	                2004	25.02.18 10:16	25.02.18 10:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Tical 0_ The Prequel:16 Crooked Letter I.aif
