Name	                                        Künstler	        Komponist	                                    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Who The Hell Cares (f/Snoop Dogg)	            Methods Of Mayhem	Tim Murray/Snoop Dogg/Tommy Lee	                Methods Of Mayhem						                                            Metal	37423670	211	    1	        1	                1	        11	                1999	25.02.18 09:44	25.02.18,09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:01 Who The Hell Cares (f_Snoop Dogg).aif
Hypocritical	                                Methods Of Mayhem	Unknown	                                        Methods Of Mayhem						                                            Metal	41633705	235	    1	        1	                2	        11	                1999	25.02.18 09:44	25.02.18,09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:02 Hypocritical.aif
Anger Management	                            Methods Of Mayhem	Tim Murray/Tommy Lee	                        Methods Of Mayhem						                                            Metal	34260202	193	    1	        1	                3	        11	                1999	25.02.18 09:44	25.02.18,09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:03 Anger Management.aif
Get Naked	                                    Methods Of Mayhem	Fred Durst/Tim Murray/Kimberly Jones/Tommy Lee	Methods Of Mayhem						                                            Metal	35683181	201	    1	        1	                4	        11	                1999	25.02.18 09:44	25.02.18,09:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:04 Get Naked.aif
New Skin (f/Kid Rock)	                        Methods Of Mayhem	Tommy Lee	                                    Methods Of Mayhem						                                            Metal	48360436	273	    1	        1	                5	        11	                1999	25.02.18 09:44	25.02.18,09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:05 New Skin (f_Kid Rock).aif
Proposition Fuck You (f/Filthee Immigrants)	    Methods Of Mayhem	Tim Murray/Tommy Lee	                        Methods Of Mayhem						                                            Metal	33977989	192	    1	        1	                6	        11	                1999	25.02.18 09:44	25.02.18,09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:06 Proposition Fuck You (f_Filthee Immigrants).aif
Crash	                                        Methods Of Mayhem	Tommy Lee	                                    Methods Of Mayhem						                                            Metal	35652564	201	    1	        1	                7	        11	                1999	25.02.18 09:44	25.02.18,09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:07 Crash.aif
Metamorphosis (f/Scott Kirkland)	            Methods Of Mayhem	Tommy Lee/Tim Murray	                        Methods Of Mayhem						                                            Metal	49630538	280	    1	        1	                8	        11	                1999	25.02.18 09:44	25.02.18,09:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:08 Metamorphosis (f_Scott Kirkland).aif
Narcotic (f/Scott Kirkland)	                    Methods Of Mayhem	Scott Kirkland/Tim Murray/Tommy Lee	            Methods Of Mayhem						                                            Metal	35259828	199	    1	        1	                9	        11	                1999	25.02.18 09:44	25.02.18,09:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:09 Narcotic (f_Scott Kirkland).aif
Mr. Onsomeothersbitches (f/U-God From Wu Tang)	Methods Of Mayhem	Tommy Lee	                                    Methods Of Mayhem						                                            Metal	6941742	    38	    1	        1	                10	        11	                1999	25.02.18 09:44	25.02.18,09:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:10 Mr. Onsomeothersbitches (f_U-God From Wu Tang).aif
Spun (f/Scott Kirkland)	                        Methods Of Mayhem	Tommy Lee	                                    Methods Of Mayhem						                                            Metal	26705575	150	    1	        1	                11	        11	                1999	25.02.18 09:44	25.02.18,09:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:Methods Of Mayhem:11 Spun (f_Scott Kirkland).aif
