Name	                Künstler	        Komponist	                                                                    Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Drunk Uncle Pete	    Methods Of Mayhem	Athena Kottak/James Kottak/Tommy Henriksen	                                    A Public Disservice Announcement						                                            Metal	29146343	164	    1	        1	                1	        11	                2010	25.02.18 10:02	25.02.18 09:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:01 Drunk Uncle Pete.aif
Time Bomb	            Methods Of Mayhem	John Edward Allen lll	                                                        A Public Disservice Announcement						                                            Metal	35934187	203	    1	        1	                2	        11	                2010	25.02.18 10:02	25.02.18 09:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:02 Time Bomb.aif
Louder	                Methods Of Mayhem	Tommy Lee/John Edward Allen lll	                                                A Public Disservice Announcement						                                            Metal	49027778	277	    1	        1	                3	        11	                2010	25.02.18 10:02	25.02.18 09:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:03 Louder.aif
Fight Song	            Methods Of Mayhem	Corey Lowery/Clint Lowery/Troy McLawhorn/Tommy Lee/Marcus Davis/Chad Kroeger	A Public Disservice Announcement						                                            Metal	41788371	236	    1	        1	                4	        11	                2010	25.02.18 10:02	25.02.18 09:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:04 Fight Song.aif
Blame	                Methods Of Mayhem	Phil X	                                                                        A Public Disservice Announcement						                                            Metal	36663288	207	    1	        1	                5	        11	                2010	25.02.18 10:02	25.02.18 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:05 Blame.aif
2 Ways	                Methods Of Mayhem	John Edward Allen lll/Sofia Toufa/Tommy Lee	                                    A Public Disservice Announcement						                                            Metal	41595470	235	    1	        1	                6	        11	                2010	25.02.18 10:02	25.02.18 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:06 2 Ways.aif
Talk Me Off The Ledge	Methods Of Mayhem	Scott Humphrey/Phil X/John Edward Allen lll	                                    A Public Disservice Announcement						                                            Metal	29343917	166	    1	        1	                7	        11	                2010	25.02.18 10:02	25.02.18 09:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:07 Talk Me Off The Ledge.aif
Only One	            Methods Of Mayhem	Tommy Lee/Kai Huppunen	                                                        A Public Disservice Announcement						                                            Metal	41190907	233	    1	        1	                8	        11	                2010	25.02.18 10:02	25.02.18 09:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:08 Only One.aif
All I Wanna Do	        Methods Of Mayhem	Scott Humphrey/Tommy Lee/John Edward Allen lll/Kai Huppunen	                    A Public Disservice Announcement						                                            Metal	43557062	246	    1	        1	                9	        11	                2010	25.02.18 10:02	25.02.18 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:09 All I Wanna Do.aif
Back To Before	        Methods Of Mayhem	John Edward Allen lll	                                                        A Public Disservice Announcement						                                            Metal	57299761	324	    1	        1	                10	        11	                2010	25.02.18 10:02	25.02.18 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:10 Back To Before.aif
Party Instructions	    Methods Of Mayhem	John Edward Allen lll/Tommy Lee/Sofia Toufa/Joel Zimmerman	                    A Public Disservice Announcement						                                            Metal	51262218	290	    1	        1	                11	        11	                2010	25.02.18 10:02	25.02.18 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Methods Of Mayhem:A Public Disservice Announcement:11 Party Instructions.aif
