Name	                    Künstler	Komponist	                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
You Know You're Right	    Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	38516415	218	    1	        1	                1	        14	                1994	01.03.18 05:07	01.03.18 05:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:01 You Know You're Right.aif
About A Girl	            Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	29898678	169	    1	        1	                2	        14	                1989	01.03.18 05:07	01.03.18 05:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:02 About A Girl.aif
Been A Son	                Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	25415764	143	    1	        1	                3	        14	                1990	01.03.18 05:07	01.03.18 05:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:03 Been A Son.aif
Sliver  	                Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	23736432	134	    1	        1	                4	        14	                1990	01.03.18 05:07	01.03.18 05:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:04 Sliver.aif
Smells Like Teen Spirit	    Nirvana	    Krist Novoselic/Kurt Cobain/Dave Grohl	Nirvana						                                            Alternative	53211740	301	    1	        1	                5	        14	                1991	01.03.18 05:07	01.03.18 05:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:05 Smells Like Teen Spirit.aif
Come As You Are	            Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	38692809	219	    1	        1	                6	        14	                1991	01.03.18 05:07	01.03.18 05:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:06 Come As You Are.aif
Lithium	                    Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	45414817	257	    1	        1	                7	        14	                1991	01.03.18 05:07	01.03.18 05:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:07 Lithium.aif
In Bloom	                Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	45038498	255	    1	        1	                8	        14	                1991	01.03.18 05:07	01.03.18 05:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:08 In Bloom.aif
Heart-Shaped Box	        Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	49773082	281	    1	        1	                9	        14	                1993	01.03.18 05:07	01.03.18 05:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:09 Heart-Shaped Box.aif
Pennyroyal Tea	            Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	38558747	218	    1	        1	                10	        14	                1993	01.03.18 05:07	01.03.18 05:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:10 Pennyroyal Tea.aif
Rape Me	                    Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	30284404	171	    1	        1	                11	        14	                1993	01.03.18 05:07	01.03.18 05:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:11 Rape Me.aif
Dumb	                    Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	27292657	154	    1	        1	                12	        14	                1993	01.03.18 05:07	01.03.18 05:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:12 Dumb.aif
All Apologies	            Nirvana	    Kurt Cobain	                            Nirvana						                                            Alternative	40263946	227	    1	        1	                13	        14	                1994	01.03.18 05:07	01.03.18 05:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:13 All Apologies.aif
The Man Who Sold The World	Nirvana	    David Bowie	                            Nirvana						                                            Alternative	40158119	227	    1	        1	                14	        14	                1994	01.03.18 05:07	01.03.18 05:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Nirvana:Nirvana:14 The Man Who Sold The World.aif
