Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Peaches,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,9291530,51,1,1,1,17,1994,"03.01.18, 11:47","03.01.18, 11:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:01 Peaches.aif
Myintrotoletuknow,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,28465044,160,1,1,2,17,1994,"03.01.18, 11:47","03.01.18, 11:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:02 Myintrotoletuknow.aif
Ain't No Thang,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,60087681,339,1,1,3,17,1994,"03.01.18, 11:47","03.01.18, 11:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:03 Ain't No Thang.aif
Welcome To Atlanta (Interlude),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,10366417,57,1,1,4,17,1994,"03.01.18, 11:47","03.01.18, 11:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:04 Welcome To Atlanta (Interlude).aif
Southernplayalisticadillacmuzik,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,56230418,317,1,1,5,17,1994,"03.01.18, 11:47","03.01.18, 11:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:05 Southernplayalisticadillacmuzik.aif
Call Of Da Wild,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,64874002,366,1,1,6,17,1994,"03.01.18, 11:47","03.01.18, 11:39",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:06 Call Of Da Wild.aif
Player's Ball (Original Version),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,46309683,261,1,1,7,17,1994,"03.01.18, 11:47","03.01.18, 11:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:07 Player's Ball (Original Version).aif
Claimin' True,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,50286896,283,1,1,8,17,1994,"03.01.18, 11:47","03.01.18, 11:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:08 Claimin' True.aif
Club Donkey Ass (Interlude),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,4714558,25,1,1,9,17,1994,"03.01.18, 11:47","03.01.18, 11:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:09 Club Donkey Ass (Interlude).aif
Funky Ride,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,69126414,390,1,1,10,17,1994,"03.01.18, 11:47","03.01.18, 11:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:10 Funky Ride.aif
Flim Flam (Interlude),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,13416953,74,1,1,11,17,1994,"03.01.18, 11:47","03.01.18, 11:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:11 Flim Flam (Interlude).aif
"Git Up, Git Out",Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,79087139,447,1,1,12,17,1994,"03.01.18, 11:47","03.01.18, 11:42",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:12 Git Up, Git Out.aif"
True Dat (Interlude),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,13640392,76,1,1,13,17,1994,"03.01.18, 11:47","03.01.18, 11:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:13 True Dat (Interlude).aif
Crumblin' Erb,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,54889761,309,1,1,14,17,1994,"03.01.18, 11:47","03.01.18, 11:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:14 Crumblin' Erb.aif
Hootie Hoo,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,42353598,238,1,1,15,17,1994,"03.01.18, 11:47","03.01.18, 11:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:15 Hootie Hoo.aif
Deep,Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,58683528,331,1,1,16,17,1994,"03.01.18, 11:47","03.01.18, 11:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:16 Deep.aif
Player's Bll (Reprise),Outkast,,Southernplayalisticadillacmuzik,,,,,,Rap,24948810,140,1,1,17,17,1994,"03.01.18, 11:47","03.01.18, 11:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Outkast:Southernplayalisticadillacmuzik:17 Player's Bll (Reprise).aif
