Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro,Outkast,Unknown,Stankonia,,,,,,Rap,12622250,69,1,1,1,24,2000,"03.01.18, 12:04","03.01.18, 11:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:01 Intro.aif
I'm Cool [Interlude],Outkast,Earthtone III,Stankonia,,,,,,Rap,7741871,42,1,1,3,24,2000,"03.01.18, 12:04","03.01.18, 11:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:03 I'm Cool [Interlude].aif
"So Fresh, So Clean",Outkast,Organized Noize/André Benjamin/Antwan Patton,Stankonia,,,,,,Rap,42671499,240,1,1,4,24,2000,"03.01.18, 12:04","03.01.18, 11:57",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:04 So Fresh, So Clean.aif"
Ms. Jackson,Outkast,Benjamin/D. Sheats/Patton,Stankonia,,,,,,Rap,48043394,270,1,1,5,24,2000,"03.01.18, 12:04","03.01.18, 11:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:05 Ms. Jackson.aif
D.F. [Interlude],Outkast,Hornz Unlimited,Stankonia,,,,,,Rap,5131149,27,1,1,7,24,2000,"03.01.18, 12:04","03.01.18, 11:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:07 D.F. [Interlude].aif
Spaghetti Junction,Outkast,Antwan Patton/Organized Noize/André Benjamin,Stankonia,,,,,,Rap,42165819,237,1,1,8,24,2000,"03.01.18, 12:04","03.01.18, 11:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:08 Spaghetti Junction.aif
Kim & Cookie [Interlude],Outkast,Earthtone III,Stankonia,,,,,,Rap,13123251,72,1,1,9,24,2000,"03.01.18, 12:04","03.01.18, 11:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:09 Kim & Cookie [Interlude].aif
B.O.B,Outkast,Benjamin/Patton/D. Sheats,Stankonia,,,,,,Rap,53996303,304,1,1,11,24,2000,"03.01.18, 12:04","03.01.18, 11:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:11 B.O.B.aif
Good Hair [Interlude],Outkast,Hornz Unlimited,Stankonia,,,,,,Rap,2969669,14,1,1,13,24,2000,"03.01.18, 12:04","03.01.18, 11:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:13 Good Hair [Interlude].aif
Drinkin' Again [Interlude],Outkast,E. X. Vortex,Stankonia,,,,,,Rap,4648999,24,1,1,16,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:16 Drinkin' Again [Interlude].aif
?,Outkast,André Benjamin/Antwan Patton/David Sheats,Stankonia,,,,,,Rap,15964519,88,1,1,17,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:17 _.aif
Red Velvet,Outkast,David Sheats/André Benjamin/Antwan Patton,Stankonia,,,,,,Rap,41363776,232,1,1,18,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:18 Red Velvet.aif
Cruisin' In The ATL [Interlude],Outkast,Southside,Stankonia,,,,,,Rap,3734073,19,1,1,19,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:19 Cruisin' In The ATL [Interlude].aif
Toilet Tisha,Outkast,Patton/Benjamin/D. Sheats,Stankonia,,,,,,Rap,47020278,264,1,1,21,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:21 Toilet Tisha.aif
Pre-Nump [Interlude],Outkast,E. X. Vortex/Hornz Unlimited,Stankonia,,,,,,Rap,5102945,27,1,1,23,24,2000,"03.01.18, 12:04","03.01.18, 12:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:23 Pre-Nump [Interlude].aif
Xplosion,Outkast Feat. B-Real,Erin Johnson/Patton/Benjamin/D. Sheats/Louis Freese,Stankonia,,,,,,Rap,44221433,248,1,1,12,24,2000,"03.01.18, 12:04","03.01.18, 11:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:12 Xplosion.aif
We Luv Deez Hoez,Outkast Feat. BackBone & Big Gipp,Organized Noize/Cameron Gipp/B. Troncoso/Antwan Patton/Jamahr Williams/André Benjamin,Stankonia,,,,,,Rap,44510872,250,1,1,14,24,2000,"03.01.18, 12:04","03.01.18, 11:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:14 We Luv Deez Hoez.aif
Stankonia (Stanklove),Outkast Feat. Big Rube & Sleepy Brown,André Benjamin/David Sheats/Patrick Brown/Antwan Patton/Ruben Bailey,Stankonia,,,,,,Rap,72652527,410,1,1,24,24,2000,"03.01.18, 12:04","03.01.18, 12:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:24 Stankonia (Stanklove).aif
Slum Beautiful,Outkast Feat. Cee-Lo,Thomas Burton/David Sheats/André Benjamin/Antwan Patton,Stankonia,,,,,,Rap,44000413,247,1,1,22,24,2000,"03.01.18, 12:04","03.01.18, 12:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:22 Slum Beautiful.aif
Humble Mumble,Outkast Feat. Erykah Badu,Erica Wright/André Benjamin/Antwan Patton/David Sheats,Stankonia,,,,,,Rap,51602079,290,1,1,15,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:15 Humble Mumble.aif
I'll Call Before I Come,Outkast Feat. Gangsta Boo & Eco,Antwan Patton/David Sheats/Lola Mitchell/André Benjamin/Rashida Roberts,Stankonia,,,,,,Rap,45914993,258,1,1,10,24,2000,"03.01.18, 12:04","03.01.18, 11:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:10 I'll Call Before I Come.aif
Gasoline Dreams,Outkast Feat. Khujo Goodie,David Sheats/Antwan Patton/Willie Knighton,Stankonia,,,,,,Rap,38202666,214,1,1,2,24,2000,"03.01.18, 12:04","03.01.18, 11:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:02 Gasoline Dreams.aif
Snappin' & Trappin,Outkast Feat. Killer Mike & J-Sweet,Benjamin/John E.E. Smith/Patton/Michael Render/D. Sheats/Corey Andrews,Stankonia,,,,,,Rap,46140706,259,1,1,6,24,2000,"03.01.18, 12:04","03.01.18, 11:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:06 Snappin' & Trappin.aif
Grangsta Sh't,"Outkast Feat. Slimm Calhoun, C-Bone & T-Mo",Carlton/Mahone/Brian Loving/David Sheats/André Benjamin/Robert Barnett/Antwan Patton/Corey Andrews,Stankonia,,,,,,Rap,49944024,281,1,1,20,24,2000,"03.01.18, 12:04","03.01.18, 12:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Stankonia:20 Grangsta Sh't.aif
