Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
All Night,Pearl Jam,Jeff Ament/Eddie Vedder/Jack Irons/Mike McCready/Stone Gossard,Lost Dogs [Disc 1],,,,,,Grunge,35949071,202,1,2,1,16,2003,"13.01.18, 14:55","13.01.18, 12:30",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-01 All Night.aif
Sad,Pearl Jam,Eddie Vedder,Lost Dogs [Disc 1],,,,,,Grunge,38954871,219,1,2,2,16,2003,"13.01.18, 14:55","13.01.18, 12:31",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-02 Sad.aif
Down,Pearl Jam,Mike McCready/Stone Gossard,Lost Dogs [Disc 1],,,,,,Grunge,34773031,195,1,2,3,16,2002,"13.01.18, 14:55","13.01.18, 12:32",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-03 Down.aif
Hitchhiker,Pearl Jam,Eddie Vedder,Lost Dogs [Disc 1],,,,,,Grunge,35111710,197,1,2,4,16,2003,"13.01.18, 14:55","13.01.18, 12:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-04 Hitchhiker.aif
Don't Gimme No Lip,Pearl Jam,Stone Gossard,Lost Dogs [Disc 1],,,,,,Grunge,27700567,155,1,2,5,16,2003,"13.01.18, 14:55","13.01.18, 12:33",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-05 Don't Gimme No Lip.aif
Alone,Pearl Jam,Jeff Ament/Dave Abbruzzese/Stone Gossard/Eddie Vedder/Mike McCready,Lost Dogs [Disc 1],,,,,,Grunge,34095696,191,1,2,6,16,2003,"13.01.18, 14:55","13.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-06 Alone.aif
In The Moonlight,Pearl Jam,,Lost Dogs [Disc 1],,,,,,Grunge,33371216,187,1,2,7,16,2003,"13.01.18, 14:55","13.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-07 In The Moonlight.aif
Education,Pearl Jam,Eddie Vedder,Lost Dogs [Disc 1],,,,,,Grunge,29619789,166,1,2,8,16,2003,"13.01.18, 14:55","13.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-08 Education.aif
"Black, Red, Yellow",Pearl Jam,Veder,Lost Dogs [Disc 1],,,,,,Grunge,36649919,206,1,2,9,16,2003,"13.01.18, 14:55","13.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-09 Black, Red, Yellow.aif"
U,Pearl Jam,,Lost Dogs [Disc 1],,,,,,Grunge,30967458,173,1,2,10,16,2003,"13.01.18, 14:55","13.01.18, 12:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 1]:1-10 U.aif
