Name	            Künstler	Komponist	                                                        Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Other Side	        Pearl Jam	Jeff Ament	                                                        Lost Dogs [Disc 2]						                                            Grunge	43412160	244	    2	        2	                2	        14	                2003	13.01.18 15:49	13.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-02 Other Side.aif
Hard To Imagine	    Pearl Jam	Stone Gossard/Eddie Vedder	                                        Lost Dogs [Disc 2]						                                            Grunge	48944085	275	    2	        2	                3	        14	                2003	13.01.18 15:49	13.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-03 Hard To Imagine.aif
Fatal	            Pearl Jam	Stone Gossard	                                                    Lost Dogs [Disc 2]						                                            Grunge	38990398	219	    2	        2	                1	        14	                2003	13.01.18 15:49	13.01.18 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-01 Fatal.aif
Footsteps [Live]	Pearl Jam	Stone Gossard/Eddie Vedder	                                        Lost Dogs [Disc 2]						                                            Grunge	41709334	234	    2	        2	                4	        14	                1992	13.01.18 15:49	13.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-04 Footsteps [Live].aif
Wash	            Pearl Jam	Jeff Ament/Dave Krusen/Mike McCready/Stone Gossard/Eddie Vedder	    Lost Dogs [Disc 2]						                                            Grunge	40639199	228	    2	        2	                5	        14	                2003	13.01.18 15:49	13.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-05 Wash.aif
Dead Man	        Pearl Jam	E. Vedder	                                                        Lost Dogs [Disc 2]						                                            Grunge	45521901	256	    2	        2	                6	        14	                1996	13.01.18 15:49	13.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-06 Dead Man.aif
Strangest Tribe	    Pearl Jam	Stone Gossard	                                                    Lost Dogs [Disc 2]						                                            Grunge	40733240	229	    2	        2	                7	        14	                1999	13.01.18 15:49	13.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-07 Strangest Tribe.aif
Drifting	        Pearl Jam	Eddie Vedder	                                                    Lost Dogs [Disc 2]						                                            Grunge	30817200	173	    2	        2	                8	        14	                2003	13.01.18 15:49	13.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-08 Drifting.aif
Let Me Sleep	    Pearl Jam	Mike McCready/Eddie Vedder	                                        Lost Dogs [Disc 2]						                                            Grunge	31929714	179	    2	        2	                9	        14	                1991	13.01.18 15:49	13.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-09 Let Me Sleep.aif
Last Kiss	        Pearl Jam	Wayne Cochran	                                                    Lost Dogs [Disc 2]						                                            Grunge	35071973	197	    2	        2	                10	        14	                1998	13.01.18 15:49	13.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-10 Last Kiss.aif
Sweet Lew	        Pearl Jam	Jeff Ament	                                                        Lost Dogs [Disc 2]						                                            Grunge	23530706	131	    2	        2	                11	        14	                2003	13.01.18 15:49	13.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-11 Sweet Lew.aif
Dirty Frank	        Pearl Jam	Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard	Lost Dogs [Disc 2]						                                            Grunge	60628861	342	    2	        2	                12	        14	                2003	13.01.18 15:49	13.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-12 Dirty Frank.aif
Brother	            Pearl Jam	Stone Gossard	                                                    Lost Dogs [Disc 2]						                                            Grunge	40406307	227	    2	        2	                13	        14	                2003	13.01.18 15:49	13.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-13 Brother.aif
Bee Girl [Live]	    Pearl Jam	Eddie Vedder/Jeff Ament	                                            Lost Dogs [Disc 2]						                                            Grunge	105342693	595	    2	        2	                14	        14	                2003	13.01.18 15:49	13.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pearl Jam:Lost Dogs [Disc 2]:2-14 Bee Girl [Live].aif
