Name	        Künstler	Komponist	                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Unknown Road	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	29497391	166	    1	        1	                1	        14	                1993	30.12.17 10:26	30.12.17 10:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:01 Unknown Road.aif
Homesick	    Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	24410011	137	    1	        1	                2	        14	                1993	30.12.17 10:26	30.12.17 10:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:02 Homesick.aif
Time To Burn	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	24633455	139	    1	        1	                3	        14	                1993	30.12.17 10:26	30.12.17 10:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:03 Time To Burn.aif
It's Up To Me	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	34723536	196	    1	        1	                4	        14	                1993	30.12.17 10:26	30.12.17 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:04 It's Up To Me.aif
You Can Demand	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	24280657	137	    1	        1	                5	        14	                1993	30.12.17 10:26	30.12.17 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:05 You Can Demand.aif
Nothing	        Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	27119514	153	    1	        1	                6	        14	                1993	30.12.17 10:26	30.12.17 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:06 Nothing.aif
Vices	        Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	21900424	123	    1	        1	                7	        14	                1993	30.12.17 10:26	30.12.17 10:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:07 Vices.aif
City Is Burning	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	23422178	132	    1	        1	                8	        14	                1993	30.12.17 10:26	30.12.17 10:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:08 City Is Burning.aif
Dying To Know	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	32658480	184	    1	        1	                9	        14	                1993	30.12.17 10:26	30.12.17 10:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:09 Dying To Know.aif
Tester	        Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	34448346	194	    1	        1	                10	        14	                1993	30.12.17 10:26	30.12.17 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:10 Tester.aif
Try To Conform	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	28354322	160	    1	        1	                11	        14	                1993	30.12.17 10:26	30.12.17 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:11 Try To Conform.aif
Give And Get	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	21453552	121	    1	        1	                12	        14	                1993	30.12.17 10:26	30.12.17 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:12 Give And Get.aif
Clear Your Mind	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	166628403	944	    1	        1	                13	        14	                1993	30.12.17 10:26	30.12.17 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:13 Clear Your Mind.aif
[Data Track]	Pennywise	Jim, Fletcher, Jason,Byron	Unknown Road						                                    Punk	431376	    2	    1	        1	                14	        14	                1993	30.12.17 10:26	30.12.17 10:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Unknown Road:14 [Data Track].aif
