Name	                Künstler	Komponist	                                    Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Fight Till You Die	    Pennywise	F. Dragge/B. McMackin/J. Lindberg/R. Bradbury	Full Circle						                                            Punk	25269802	143	    1	        1	                1	        14	                1997	30.12.17 10:43	30.12.17 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:01 Fight Till You Die.aif
Date With Destiny	    Pennywise	F. Dragge/R. Bradbury/B. McMackin/J. Lindberg	Full Circle						                                            Punk	31076889	175	    1	        1	                2	        14	                1997	30.12.17 10:43	30.12.17 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:02 Date With Destiny.aif
Get A Life	            Pennywise	B. McMackin/R. Bradbury/J. Lindberg/F. Dragge	Full Circle						                                            Punk	31119218	176	    1	        1	                3	        14	                1997	30.12.17 10:43	30.12.17 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:03 Get A Life.aif
Society	                Pennywise	B. McMackin/F. Dragge/R. Bradbury/J. Lindberg	Full Circle						                                            Punk	36164255	204	    1	        1	                4	        14	                1997	30.12.17 10:43	30.12.17 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:04 Society.aif
Final Day	            Pennywise	F. Dragge/R. Bradbury/J. Lindberg/B. McMackin	Full Circle						                                            Punk	33765217	191	    1	        1	                5	        14	                1997	30.12.17 10:43	30.12.17 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:05 Final Day.aif
Broken	                Pennywise	F. Dragge/J. Lindberg/R. Bradbury/B. McMackin	Full Circle						                                            Punk	29338750	166	    1	        1	                6	        14	                1997	30.12.17 10:43	30.12.17 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:06 Broken.aif
Running Out Of Time	    Pennywise	R. Bradbury/B. McMackin/F. Dragge/J. Lindberg	Full Circle						                                            Punk	25004027	141	    1	        1	                7	        14	                1997	30.12.17 10:43	30.12.17 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:07 Running Out Of Time.aif
You'll Never Make It	Pennywise	J. Lindberg/R. Bradbury/F. Dragge/B. McMackin	Full Circle						                                            Punk	27450108	155	    1	        1	                8	        14	                1997	30.12.17 10:43	30.12.17 10:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:08 You'll Never Make It.aif
Every Time	            Pennywise	J. Lindberg/F. Dragge/R. Bradbury/B. McMackin	Full Circle						                                            Punk	38321042	217	    1	        1	                9	        14	                1997	30.12.17 10:43	30.12.17 10:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:09 Every Time.aif
Nowhere Fast	        Pennywise	J. Lindberg/R. Bradbury/F. Dragge/B. McMackin	Full Circle						                                            Punk	31196839	176	    1	        1	                10	        14	                1997	30.12.17 10:43	30.12.17 10:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:10 Nowhere Fast.aif
What If I	            Pennywise	B. McMackin/J. Lindberg/F. Dragge/R. Bradbury	Full Circle						                                            Punk	31025140	175	    1	        1	                11	        14	                1997	30.12.17 10:43	30.12.17 10:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:11 What If I.aif
Go Away	                Pennywise	R. Bradbury/J. Lindberg/F. Dragge/B. McMackin	Full Circle						                                            Punk	19610882	110	    1	        1	                12	        14	                1997	30.12.17 10:43	30.12.17 10:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:12 Go Away.aif
Did You Really?	        Pennywise	R. Bradbury/J. Lindberg/F. Dragge/B. McMackin	Full Circle						                                            Punk	30244282	171	    1	        1	                13	        14	                1997	30.12.17 10:43	30.12.17 10:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:13 Did You Really_.aif
Bro Hymn (Tribute)	    Pennywise	LINDBERG/Thirsk/Dragge/McMackin	                Full Circle						                                            Punk	253387919	1436	1	        1	                14	        14	                1997	30.12.17 10:43	30.12.17 10:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Full Circle:14 Bro Hymn (Tribute).aif
