Name	                Künstler	Komponist	                            Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Time Marches On	        Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	31295105	177	    1	        1	                1	        14	                2001	30.12.17 11:02	30.12.17 10:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:01 Time Marches On.aif
Land Of The Free?	    Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	26798083	151	    1	        1	                2	        14	                2001	30.12.17 11:02	30.12.17 10:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:02 Land Of The Free_.aif
The World	            Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	25993691	147	    1	        1	                3	        14	                2001	30.12.17 11:02	30.12.17 10:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:03 The World.aif
Fuck Authority	        Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	34651408	196	    1	        1	                4	        14	                2001	30.12.17 11:02	30.12.17 10:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:04 Fuck Authority.aif
Something Wrong With Me	Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	28157545	159	    1	        1	                5	        14	                2001	30.12.17 11:02	30.12.17 10:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:05 Something Wrong With Me.aif
Enemy	                Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	27299047	154	    1	        1	                6	        14	                2001	30.12.17 11:02	30.12.17 10:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:06 Enemy.aif
My God	                Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	29691032	168	    1	        1	                7	        14	                2001	30.12.17 11:02	30.12.17 10:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:07 My God.aif
Twist Of Fate	        Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	27150879	153	    1	        1	                8	        14	                2001	30.12.17 11:02	30.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:08 Twist Of Fate.aif
Who's On Your Side	    Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	30048548	170	    1	        1	                9	        14	                2001	30.12.17 11:02	30.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:09 Who's On Your Side.aif
It's Up To You	        Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	31156337	176	    1	        1	                10	        14	                2001	30.12.17 11:02	30.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:10 It's Up To You.aif
Set Me Free	            Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	26798078	151	    1	        1	                11	        14	                2001	30.12.17 11:02	30.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:11 Set Me Free.aif
Divine Intervention	    Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	37193926	210	    1	        1	                12	        14	                2001	30.12.17 11:02	30.12.17 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:12 Divine Intervention.aif
WTO	                    Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	31565574	178	    1	        1	                13	        14	                2001	30.12.17 11:02	30.12.17 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:13 WTO.aif
Anyone Listening	    Pennywise	Jim, Fletcher, Randy,Byron/Pennywise	Land Of The Free?						                                Punk	31831363	180	    1	        1	                14	        14	                2001	30.12.17 11:02	30.12.17 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Pennywise:Land Of The Free_:14 Anyone Listening.aif
