Name	                        Künstler	Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Inner Circle (Intro)	        Puppetmastaz		    Revolve and Step Up!						                                            Rap	    24661513	139	    1	        1	                1	        25	                2013	30.12.17 12:12	30.12.17 12:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:01 Inner Circle (Intro).aif
Full Bashment	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    39648450	224	    1	        1	                2	        25	                2013	30.12.17 12:12	30.12.17 12:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:02 Full Bashment.aif
Skit (Skit 03)	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    5756131	    32	    1	        1	                3	        25	                2013	30.12.17 12:12	30.12.17 12:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:03 Skit (Skit 03).aif
Fresh Day	                    Puppetmastaz		    Revolve and Step Up!						                                            Rap	    42308558	239	    1	        1	                4	        25	                2013	30.12.17 12:12	30.12.17 12:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:04 Fresh Day.aif
Skit (Ski 05)	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    1249698	    6	    1	        1	                5	        25	                2013	30.12.17 12:12	30.12.17 12:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:05 Skit (Ski 05).aif
Entertainers	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    45356753	256	    1	        1	                6	        25	                2013	30.12.17 12:12	30.12.17 12:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:06 Entertainers.aif
Turn It Into Gold	            Puppetmastaz		    Revolve and Step Up!						                                            Rap	    41379526	234	    1	        1	                7	        25	                2013	30.12.17 12:12	30.12.17 12:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:07 Turn It Into Gold.aif
Dschinni of Glas	            Puppetmastaz		    Revolve and Step Up!						                                            Rap	    43414005	245	    1	        1	                8	        25	                2013	30.12.17 12:12	30.12.17 12:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:08 Dschinni of Glas.aif
Skit (Skit 09)	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    3914515	    21	    1	        1	                9	        25	                2013	30.12.17 12:12	30.12.17 12:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:09 Skit (Skit 09).aif
Drip Drip Drown	                Puppetmastaz		    Revolve and Step Up!						                                            Rap	    31360007	177	    1	        1	                10	        25	                2013	30.12.17 12:12	30.12.17 12:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Puppetmastaz:Revolve and Step Up!:10 Drip Drip Drown.aif
