Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Bullet In The Head [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,60539522,342,1,1,1,12,1997,"01.04.18, 08:08","01.04.18, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:01 Bullet In The Head [Live].aif
Settle For Nothing [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,52479218,297,1,1,2,12,1997,"01.04.18, 08:08","01.04.18, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:02 Settle For Nothing [Live].aif
Bombtrack [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,62369369,353,1,1,3,12,1997,"01.04.18, 08:08","01.04.18, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:03 Bombtrack [Live].aif
Take The Power Back [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,65633955,371,1,1,4,12,1997,"01.04.18, 08:08","01.04.18, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:04 Take The Power Back [Live].aif
Freedom [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,63357207,358,1,1,5,12,1997,"01.04.18, 08:08","01.04.18, 08:04",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:05 Freedom [Live].aif
Intro (Black Steel In The Hour Of Chaos) [Live],Rage Against The Machine,"Rage Against The Machine, H. Shocklee, C. Ridenhour, E. Sadler, W. Drayton",Live & Rare,,,,,,Crossover,38889434,220,1,1,6,12,1997,"01.04.18, 08:08","01.04.18, 08:04",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:06 Intro (Black Steel In The Hour Of Chaos) [Live].aif
Zapata's Blood [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,40267630,227,1,1,7,12,1997,"01.04.18, 08:08","01.04.18, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:07 Zapata's Blood [Live].aif
Without A Face [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,43247614,244,1,1,8,12,1997,"01.04.18, 08:08","01.04.18, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:08 Without A Face [Live].aif
Hadda Be Playing On The Jukebox [Live],Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,85117935,482,1,1,9,12,1997,"01.04.18, 08:08","01.04.18, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:09 Hadda Be Playing On The Jukebox [Live].aif
Fuck Tha Police [Live],Rage Against The Machine,"Oshea Jackson, Lorenzo Patterson, Andre Young",Live & Rare,,,,,,Crossover,43654533,247,1,1,10,12,1997,"01.04.18, 08:08","01.04.18, 08:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:10 Fuck Tha Police [Live].aif
Darkness,Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,39225682,221,1,1,11,12,1997,"01.04.18, 08:08","01.04.18, 08:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:11 Darkness.aif
Clear The Lane,Rage Against The Machine,Rage Against The Machine,Live & Rare,,,,,,Crossover,40307608,228,1,1,12,12,1997,"01.04.18, 08:08","01.04.18, 08:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Live & Rare:12 Clear The Lane.aif
