Name	                Künstler	                Komponist	                                            Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Testify	                Rage Against The Machine	Tom Morello/Timothy Commerford/Brad J. Wilk	            The Battle Of Los Angeles						                                            Crossover	37186913	210	    1	        1	                1	        12	                1999	01.04.18 08:31	01.04.18 08:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:01 Testify.aif
Guerilla Radio	        Rage Against The Machine	Rage Against The Machine	                            The Battle Of Los Angeles						                                            Crossover	36446021	206	    1	        1	                2	        12	                1999	01.04.18 08:31	01.04.18 08:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:02 Guerilla Radio.aif
Calm Like A Bomb	    Rage Against The Machine	Rage Against The Machine	                            The Battle Of Los Angeles						                                            Crossover	52797127	298	    1	        1	                3	        12	                2003	01.04.18 08:31	01.04.18 08:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:03 Calm Like A Bomb.aif
Mic Check	            Rage Against The Machine	Brad Wilk/Tim Commerford/Zack De La Rocha/Tom Morello	The Battle Of Los Angeles						                                            Crossover	37758461	213	    1	        1	                4	        12	                1999	01.04.18 08:31	01.04.18 08:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:04 Mic Check.aif
Sleep Now In The Fire	Rage Against The Machine	Rage Against The Machine	                            The Battle Of Los Angeles						                                            Crossover	36340188	205	    1	        1	                5	        12	                1999	01.04.18 08:31	01.04.18 08:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:05 Sleep Now In The Fire.aif
Born Of A Broken Man	Rage Against The Machine	Brad Wilk/Tim Commerford/Tom Morello/Zack De La Rocha	The Battle Of Los Angeles						                                            Crossover	49633720	280	    1	        1	                6	        12	                1999	01.04.18 08:31	01.04.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:06 Born Of A Broken Man.aif
Born As Ghosts	        Rage Against The Machine	Tom Morello/Brad Wilk/Tim Commerford/Zack De La Rocha	The Battle Of Los Angeles						                                            Crossover	35712226	202	    1	        1	                7	        12	                1999	01.04.18 08:31	01.04.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:07 Born As Ghosts.aif
Maria	                Rage Against The Machine	Allen Ginsberg/Zack De La Rocha	                        The Battle Of Los Angeles						                                            Crossover	40308003	228	    1	        1	                8	        12	                1999	01.04.18 08:31	01.04.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:08 Maria.aif
Voice Of The Voiceless	Rage Against The Machine	Bruce Springsteen	                                    The Battle Of Los Angeles						                                            Crossover	26809878	151	    1	        1	                9	        12	                1999	01.04.18 08:31	01.04.18 08:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:09 Voice Of The Voiceless.aif
New Millennium Homes	Rage Against The Machine	Zack De La Rocha/Allen Ginsberg	                        The Battle Of Los Angeles						                                            Crossover	39750597	224	    1	        1	                10	        12	                1999	01.04.18 08:31	01.04.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:10 New Millennium Homes.aif
Ashes In The Fall	    Rage Against The Machine	Zack De La Rocha/Brad Wilk/Tom Morello	                The Battle Of Los Angeles						                                            Crossover	48982201	277	    1	        1	                11	        12	                1999	01.04.18 08:31	01.04.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:11 Ashes In The Fall.aif
War Within A Breath	    Rage Against The Machine	Bruce Springsteen	                                    The Battle Of Los Angeles						                                            Crossover	38273526	216	    1	        1	                12	        12	                1999	01.04.18 08:31	01.04.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:The Battle Of Los Angeles:12 War Within A Breath.aif
