Name	                            Künstler	                Komponist	                                                                        Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Microphone Fiend	                Rage Against The Machine	Barrier/W. Griffin	                                                                Renegades						                                            Crossover	53298131	301	    1	        1	                1	        14	                2000	01.04.18 08:57	01.04.18 08:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:01 Microphone Fiend.aif
Pistol Grip Pump	                Rage Against The Machine	Dino Hawkins/Nick Vidal/Roger/Eric Vidal	                                        Renegades						                                            Crossover	35051337	198	    1	        1	                2	        14	                2000	01.04.18 08:57	01.04.18 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:02 Pistol Grip Pump.aif
Kick Out The Jams	                Rage Against The Machine	Robert W. Derminer/Frederick D. Smith/Dennis A. Tomich/Michael Davis/Wayne Kramer	Renegades						                                            Crossover	33882435	191	    1	        1	                3	        14	                2000	01.04.18 08:57	01.04.18 08:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:03 Kick Out The Jams.aif
Renegades Of Funk	                Rage Against The Machine	John Miller/Arthur Baker/John Robie/Afrika Bambaataa	                            Renegades						                                            Crossover	48624742	275	    1	        1	                4	        14	                2000	01.04.18 08:57	01.04.18 08:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:04 Renegades Of Funk.aif
Beautiful World	                    Rage Against The Machine	Mark Mothersbaugh/Gerald Casale	                                                    Renegades						                                            Crossover	27419087	155	    1	        1	                5	        14	                2000	01.04.18 08:57	01.04.18 08:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:05 Beautiful World.aif
I'M Housin'	                        Rage Against The Machine	Parrish Smith/Erick Sermon	                                                        Renegades						                                            Crossover	52411430	296	    1	        1	                6	        14	                2000	01.04.18 08:57	01.04.18 08:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:06 I'M Housin'.aif
In My Eyes	                        Rage Against The Machine	Ian MacKaye	                                                                        Renegades						                                            Crossover	30829462	174	    1	        1	                7	        14	                2000	01.04.18 08:57	01.04.18 08:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:07 In My Eyes.aif
How I Could Just Kill A Man	        Rage Against The Machine	Lowell Fulson/Senen Reyes/Louis Freese/Lawrence Muggerud/Jimmy McCracklin	        Renegades						                                            Crossover	43226933	244	    1	        1	                8	        14	                2000	01.04.18 08:57	01.04.18 08:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:08 How I Could Just Kill A Man.aif
The Ghost Of Tom Joad	            Rage Against The Machine	Bruce Springsteen	                                                                Renegades						                                            Crossover	59754375	338	    1	        1	                9	        14	                2000	01.04.18 08:57	01.04.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:09 The Ghost Of Tom Joad.aif
Down On The Street	                Rage Against The Machine	James Osterberg/Ron Asheton/Dave Alexander/Scott Asheton	                        Renegades						                                            Crossover	38673436	219	    1	        1	                10	        14	                2000	01.04.18 08:57	01.04.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:10 Down On The Street.aif
Street Fighting Man	                Rage Against The Machine	Keith Richards/Mick Jagger	                                                        Renegades						                                            Crossover	49847759	282	    1	        1	                11	        14	                2000	01.04.18 08:57	01.04.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:11 Street Fighting Man.aif
Maggie's Farm	                    Rage Against The Machine	B. Dylan	                                                                        Renegades						                                            Crossover	73165463	414	    1	        1	                12	        14	                2000	01.04.18 08:57	01.04.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:12 Maggie's Farm.aif
Kick Out The Jams [Live]	        Rage Against The Machine	Wayne Kramer/Robert W. Derminer/Frederick D. Smith/Michael Davis/Dennis A. Tomich	Renegades						                                            Crossover	47977979	271	    1	        1	                13	        14	                2000	01.04.18 08:57	01.04.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:13 Kick Out The Jams [Live].aif
How I Could Just Kill A Man [Live]	Rage Against The Machine	Jimmy McCracklin/Lawrence Muggerud/Senen Reyes/Louis Freese/Lowell Fulson	        Renegades						                                            Crossover	47759245	270	    1	        1	                14	        14	                2000	01.04.18 08:57	01.04.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Rage Against The Machine:Renegades:14 How I Could Just Kill A Man [Live].aif
