Name	                        Künstler	Komponist	                                                            Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Puteiro Em João Pessoa	        Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	33367224	188	    1	        1	                1	        16	                1994	28.12.17 11:20	28.12.17 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:01 Puteiro Em João Pessoa.aif
Palhas Do Coqueiro	            Raimundos	Martin Luthero - Raimundos - Evandro Vieira	                            Raimundos						                                            Punk	21174442	119	    1	        1	                2	        16	                1994	28.12.17 11:20	28.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:02 Palhas Do Coqueiro.aif
MM's	                        Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	21219101	120	    1	        1	                3	        16	                1994	28.12.17 11:20	28.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:03 MM's.aif
Minha Cunhada	                Raimundos	Raimundos - Rodolfo Abrantes - Martin Luthero	                        Raimundos						                                            Punk	14412439	81	    1	        1	                4	        16	                1994	28.12.17 11:20	28.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:04 Minha Cunhada.aif
Rapante	                        Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	32468720	183	    1	        1	                5	        16	                1994	28.12.17 11:20	28.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:05 Rapante.aif
Carro Forte	                    Raimundos	Raimundos - Domínio Público	                                            Raimundos						                                            Punk	16021217	90	    1	        1	                6	        16	                1994	28.12.17 11:20	28.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:06 Carro Forte.aif
Nêga Jurema	                    Raimundos	Rodolfo Aabrantes	                                                    Raimundos						                                            Punk	20003127	113	    1	        1	                7	        16	                1994	28.12.17 11:20	28.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:07 Nêga Jurema.aif
Deixei De Fumar / Cana Caiana	Raimundos	Zenilton - Tio Jovem/Durval Vieria - Graças Góes	                    Raimundos						                                            Punk	16263533	92	    1	        1	                8	        16	                1994	28.12.17 11:20	28.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:08 Deixei De Fumar _ Cana Caiana.aif
Cajueiro / Rio Das Pedras	    Raimundos	Zenilton - Durval Vieira/Domínio Público - Raimundos - Martin Luthero	Raimundos						                                            Punk	26654707	150	    1	        1	                9	        16	                1994	28.12.17 11:20	28.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:09 Cajueiro _ Rio Das Pedras.aif
Bê A Bá	                        Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	26711035	151	    1	        1	                10	        16	                1994	28.12.17 11:20	28.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:10 Bê A Bá.aif
Bicharada	                    Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	17239523	97	    1	        1	                11	        16	                1994	28.12.17 11:20	28.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:11 Bicharada.aif
Marujo	                        Raimundos	Raimundos - Rodolfo Abrantes - Martin Luthero	                        Raimundos						                                            Punk	26929777	152	    1	        1	                12	        16	                1994	28.12.17 11:20	28.12.17 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:12 Marujo.aif
Cintura Fina	                Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	27470726	155	    1	        1	                13	        16	                1994	28.12.17 11:20	28.12.17 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:13 Cintura Fina.aif
Selim	                        Raimundos	Raimundos - Cristiano Telles	                                        Raimundos						                                            Punk	44946079	254	    1	        1	                14	        16	                1994	28.12.17 11:20	28.12.17 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:14 Selim.aif
Puteiro Em João Pessoa II	    Raimundos	Raimundos - Rodolfo Abrantes	                                        Raimundos						                                            Punk	33538927	189	    1	        1	                15	        16	                1994	28.12.17 11:20	28.12.17 11:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:15 Puteiro Em João Pessoa II.aif
Selim (Acústico)	            Raimundos	Raimundos - Cristiano Telles	                                        Raimundos						                                            Punk	44565085	252	    1	        1	                16	        16	                1994	28.12.17 11:20	28.12.17 11:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Raimundos:Raimundos:16 Selim (Acústico).aif
