Name	            Künstler	Komponist	Album	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Ort
Hard Work	        Regime	    Regime	    3dB		Rap	    57293301	323	    1	        1	                1	        10	                2017	22.04.18 09:50	22.04.18 09:36	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:01 Hard Work.aif
Robbing Us	        Regime	    Regime	    3dB		Rap	    54068710	304	    1	        1	                2	        10	                2017	22.04.18 09:50	22.04.18 09:37	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:02 Robbing Us.aif
Bliss	            Regime	    Regime	    3dB		Rap	    39342833	221	    1	        1	                3	        10	                2017	22.04.18 09:50	22.04.18 09:38	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:03 Bliss.aif
Fatman	            Regime	    Regime	    3dB		Rap	    49665762	279	    1	        1	                4	        10	                2017	22.04.18 09:50	22.04.18 09:38	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:04 Fatman.aif
No Beef	            Regime	    Regime	    3dB		Rap	    39138211	220	    1	        1	                5	        10	                2017	22.04.18 09:50	22.04.18 09:39	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:05 No Beef.aif
Yes	Regime	        Regime	                3dB		Rap	    45608559	256	    1	        1	                6	        10	                2017	22.04.18 09:50	22.04.18 09:39	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:06 Yes.aif
Conches Of Aaron	Regime	    Regime	    3dB		Rap	    19915324	111	    1	        1	                7	        10	                2017	22.04.18 09:50	22.04.18 09:40	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:07 Conches Of Aaron.aif
Forgiveness	Regime	Regime	                3dB		Rap	    35377367	198	    1	        1	                8	        10	                2017	22.04.18 09:50	22.04.18 09:40	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:08 Forgiveness.aif
Won't Buy It	    Regime	    Regime	    3dB		Rap	    44910024	253	    1	        1	                9	        10	                2017	22.04.18 09:50	22.04.18 09:40	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:09 Won't Buy It.aif
Marianna	        Regime	    Regime	    3dB		Rap	    57824855	326	    1	        1	                10	        10	                2017	22.04.18 09:50	22.04.18 09:41	1411	    44100		                    AIFF-Audiodatei	Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Regime:3dB:10 Marianna.aif
