Name	                            Künstler	                Komponist	                                                                            Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Walk This Way	                    Run-D.M.C.	                Joe Perry/Steven Tyler	                                                                The Best Of Run-D.M.C.						                                            Rap	    55190659	312	    1	        1	                1	        15	                1986	30.12.17 18:09	30.12.17 18:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:01 Walk This Way.aif
Sucker M.C.'s (Krush-Groove 1)	    Run-D.M.C.	                Joseph Ward Simmons/Lawrence Smith/Darryl McDaniels	                                    The Best Of Run-D.M.C.						                                            Rap	    33667553	190	    1	        1	                2	        15	                1984	30.12.17 18:09	30.12.17 18:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:02 Sucker M.C.'s (Krush-Groove 1).aif
My Adidas	                        Run-D.M.C.	                Rick Rubin/Darryl McDaniels/Joseph Ward Simmons	                                        The Best Of Run-D.M.C.						                                            Rap	    30000760	169	    1	        1	                3	        15	                1986	30.12.17 18:09	30.12.17 18:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:03 My Adidas.aif
King Of Rock	                    Run-D.M.C.	                Joseph Ward Simmons/Darryl McDaniels/Lawrence Smith	                                    The Best Of Run-D.M.C.						                                            Rap	    55691663	315	    1	        1	                5	        15	                1985	30.12.17 18:09	30.12.17 18:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:05 King Of Rock.aif
It's Tricky	                        Run-D.M.C.	                Darryl McDaniels/Joseph Ward Simmons/Rick Rubin/Jason Mizell	                        The Best Of Run-D.M.C.						                                            Rap	    32679703	184	    1	        1	                6	        15	                1986	30.12.17 18:09	30.12.17 18:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:06 It's Tricky.aif
You Talk Too Much	                Run-D.M.C.	                Jason Mizell/Darryl McDaniels/Larry Smith/Daniel Hayden/Joseph Simmons/Russell Simmons	The Best Of Run-D.M.C.						                                            Rap	    63829623	361	    1	        1	                7	        15	                1985	30.12.17 18:09	30.12.17 18:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:07 You Talk Too Much.aif
You Be Illin'	                    Run-D.M.C.	                Raymond White/Jason Mizell/Joseph Simmons	                                            The Best Of Run-D.M.C.						                                            Rap	    36765110	208	    1	        1	                8	        15	                1986	30.12.17 18:09	30.12.17 18:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:08 You Be Illin'.aif
Rock Box	                        Run-D.M.C.	                Darryl McDaniels/Joseph Simmons/Lawrence Smith	                                        The Best Of Run-D.M.C.						                                            Rap	    58330598	330	    1	        1	                9	        15	                1984	30.12.17 18:09	30.12.17 18:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:09 Rock Box.aif
Run's House	                        Run-D.M.C.	                David Reeves/Darryl McDaniels/Jason Mizell/Joseph Simmons	                            The Best Of Run-D.M.C.						                                            Rap	    35953685	203	    1	        1	                10	        15	                1988	30.12.17 18:09	30.12.17 18:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:10 Run's House.aif
Peter Piper	                        Run-D.M.C.	                Darryl McDaniels/Joseph Ward Simmons	                                                The Best Of Run-D.M.C.						                                            Rap	    36247664	205	    1	        1	                11	        15	                1986	30.12.17 18:09	30.12.17 18:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Best Of Run-D.M.C_:11 Peter Piper.aif
