Name	                    Künstler	Komponist	Album	                                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Rusty Rake	                SNFU		            The One Voted Most Likely To Succeed						                                            Punk	21102657	119	    1	        1	                1	        13	                2008	21.01.18 17:46	21.01.18 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:01 Rusty Rake.aif
A Better Place	            SNFU		            The One Voted Most Likely To Succeed						                                            Punk	18703621	105	    1	        1	                2	        13	                2008	21.01.18 17:46	21.01.18 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:02 A Better Place.aif
Big Thumbs	                SNFU		            The One Voted Most Likely To Succeed						                                            Punk	25046961	141	    1	        1	                3	        13	                2008	21.01.18 17:46	21.01.18 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:03 Big Thumbs.aif
Drunk On A Bike	            SNFU		            The One Voted Most Likely To Succeed						                                            Punk	30004982	169	    1	        1	                4	        13	                2008	21.01.18 17:46	21.01.18 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:04 Drunk On A Bike.aif
Manuel      	            SNFU		            The One Voted Most Likely To Succeed						                                            Punk	30282509	171	    1	        1	                5	        13	                2008	21.01.18 17:46	21.01.18 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:05 Manuel.aif
My Mold Collection	        SNFU		            The One Voted Most Likely To Succeed						                                            Punk	24654185	139	    1	        1	                6	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:06 My Mold Collection.aif
Bumper Stickers	            SNFU		            The One Voted Most Likely To Succeed						                                            Punk	15450806	87	    1	        1	                7	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:07 Bumper Stickers.aif
Eric's Had A Bad Day	    SNFU		            The One Voted Most Likely To Succeed						                                            Punk	33897547	191	    1	        1	                8	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:08 Eric's Had A Bad Day.aif
The King Of Skin	        SNFU		            The One Voted Most Likely To Succeed						                                            Punk	18640119	105	    1	        1	                9	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:09 The King Of Skin.aif
Mutated Dog	                SNFU		            The One Voted Most Likely To Succeed						                                            Punk	30926965	175	    1	        1	                10	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:10 Mutated Dog.aif
Bizarre Novelties	        SNFU		            The One Voted Most Likely To Succeed						                                            Punk	15304987	86	    1	        1	                11	        13	                2008	21.01.18 17:46	21.01.18 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:11 Bizarre Novelties.aif
Lovely Little Frankenstein	SNFU		            The One Voted Most Likely To Succeed						                                            Punk	27083812	153	    1	        1	                12	        13	                2008	21.01.18 17:46	21.01.18 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:12 Lovely Little Frankenstein.aif
One Last Loveshove	        SNFU		            The One Voted Most Likely To Succeed						                                            Punk	25712588	145	    1	        1	                13	        13	                2008	21.01.18 17:46	21.01.18 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:SNFU:The One Voted Most Likely To Succeed:13 One Last Loveshove.aif
