Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Soul Pilgrim,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,28496712,161,1,1,1,15,1995,"05.01.18, 08:46","05.01.18, 08:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:01 Soul Pilgrim.aif
Steel Pier,Satan's Pilgrims,Wayne Martin Brown,Soul Pilgrim,,,,,,Surf,25860067,146,1,1,2,15,1995,"05.01.18, 08:46","05.01.18, 08:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:02 Steel Pier.aif
Plymouth Rock,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,23374057,132,1,1,3,15,1995,"05.01.18, 08:46","05.01.18, 08:40",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:03 Plymouth Rock.aif
Scatter Shield,Satan's Pilgrims,Jim Fuller,Soul Pilgrim,,,,,,Surf,22421439,127,1,1,4,15,1995,"05.01.18, 08:46","05.01.18, 08:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:04 Scatter Shield.aif
Backyard Compost,Satan's Pilgrims,Dusty Stretch,Soul Pilgrim,,,,,,Surf,29143460,165,1,1,5,15,1995,"05.01.18, 08:46","05.01.18, 08:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:05 Backyard Compost.aif
Morpheus,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,28141556,159,1,1,6,15,1995,"05.01.18, 08:46","05.01.18, 08:41",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:06 Morpheus.aif
Spoke,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,22499105,127,1,1,7,15,1995,"05.01.18, 08:46","05.01.18, 08:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:07 Spoke.aif
Shit Sandwich,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,38074057,215,1,1,8,15,1995,"05.01.18, 08:46","05.01.18, 08:42",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:08 Shit Sandwich.aif
Pilgrim Stomp,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,33386521,189,1,1,9,15,1995,"05.01.18, 08:46","05.01.18, 08:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:09 Pilgrim Stomp.aif
Beach Creep,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,27485352,155,1,1,10,15,1995,"05.01.18, 08:46","05.01.18, 08:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:10 Beach Creep.aif
Action Plus,Satan's Pilgrims,"Mel Taylor, Nokie Edwards, Don Wilson, Bob Bogle",Soul Pilgrim,,,,,,Surf,24832275,140,1,1,11,15,1995,"05.01.18, 08:46","05.01.18, 08:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:11 Action Plus.aif
Small Craft Advisory,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,28489665,161,1,1,12,15,1995,"05.01.18, 08:46","05.01.18, 08:43",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:12 Small Craft Advisory.aif
Shootin' The Pier,Satan's Pilgrims,Dimitri Tiomkin/Ned Washington,Soul Pilgrim,,,,,,Surf,30893367,175,1,1,13,15,1995,"05.01.18, 08:46","05.01.18, 08:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:13 Shootin' The Pier.aif
Haunted House Of Rock '95,Satan's Pilgrims,"Dave Pilgrim, Bobby Pilgrim, John Pilgrim, Scott Pilgrim, Ted Pilgrim",Soul Pilgrim,,,,,,Surf,38339846,217,1,1,14,15,1995,"05.01.18, 08:46","05.01.18, 08:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:14 Haunted House Of Rock '95.aif
Let's Go To The Beach,Satan's Pilgrims,Larry Parker,Soul Pilgrim,,,,,,Surf,30493513,172,1,1,15,15,1995,"05.01.18, 08:46","05.01.18, 08:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Soul Pilgrim:15 Let's Go To The Beach.aif
