Name	                                Künstler	        Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Badge Of Honor	                        Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	25775995	145	    1	        1	                1	        15	                1999	05.01.18 08:58	05.01.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:01 Badge Of Honor.aif
Theme From The Arturan	                Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	17828595	100	    1	        1	                2	        15	                1999	05.01.18 08:58	05.01.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:02 Theme From The Arturan.aif
Fra Diavolo	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	26281672	148	    1	        1	                3	        15	                1999	05.01.18 08:58	05.01.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:03 Fra Diavolo.aif
Tears & Gears	                        Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	32813178	185	    1	        1	                4	        15	                1999	05.01.18 08:58	05.01.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:04 Tears & Gears.aif
Step It Up	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	27391815	155	    1	        1	                5	        15	                1999	05.01.18 08:58	05.01.18 08:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:05 Step It Up.aif
Casbah	                                Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	23275811	131	    1	        1	                6	        15	                1999	05.01.18 08:58	05.01.18 08:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:06 Casbah.aif
All Day Party (All Night Party)	        Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	30910428	175	    1	        1	                7	        15	                1999	05.01.18 08:58	05.01.18 08:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:07 All Day Party (All Night Party).aif
Mutha Fuzz	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	27857511	157	    1	        1	                8	        15	                1999	05.01.18 08:58	05.01.18 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:08 Mutha Fuzz.aif
Frankenstomp	                        Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	24512969	138	    1	        1	                9	        15	                1999	05.01.18 08:58	05.01.18 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:09 Frankenstomp.aif
Super Stock	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	32796713	185	    1	        1	                10	        15	                1999	05.01.18 08:58	05.01.18 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:10 Super Stock.aif
Black Marquis	                        Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	24096667	136	    1	        1	                11	        15	                1999	05.01.18 08:58	05.01.18 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:11 Black Marquis.aif
Chi Chi	                                Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	30875125	174	    1	        1	                12	        15	                1999	05.01.18 08:58	05.01.18 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:12 Chi Chi.aif
Jungle Room	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	30160121	170	    1	        1	                13	        15	                1999	05.01.18 08:58	05.01.18 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:13 Jungle Room.aif
Hungarian Dance No. 5	                Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	23849715	135	    1	        1	                14	        15	                1999	05.01.18 08:58	05.01.18 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:14 Hungarian Dance No. 5.aif
Beach Binge	                            Satan's Pilgrims		        Satan's Pilgrams						                                            Surf	19305641	109	    1	        1	                15	        15	                1999	05.01.18 08:58	05.01.18 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Satan's Pilgrims:Satan's Pilgrams:15 Beach Binge.aif
