Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro,Saïan Supa Crew,,X Raisons,,,,,,Rap,6814122,34,1,1,1,21,2001,"13.01.18, 16:01","13.01.18, 15:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:01 Intro.aif
Ils Étaient Une Fois,Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,52372441,293,1,1,2,21,2001,"13.01.18, 16:01","13.01.18, 15:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:02 Ils Étaient Une Fois.aif
"19, 20 Ans",Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,47470840,265,1,1,3,21,2001,"13.01.18, 16:01","13.01.18, 15:55",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:03 19, 20 Ans.aif"
Polices,Saïan Supa Crew,Saïan Supa Crew/Alsoprobby,X Raisons,,,,,,Rap,45511643,254,1,1,4,21,2001,"13.01.18, 16:01","13.01.18, 15:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:04 Polices.aif
Maladie,Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,41960101,234,1,1,5,21,2001,"13.01.18, 16:01","13.01.18, 15:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:05 Maladie.aif
Interlude,Saïan Supa Crew,Bob Marley/Big Red/Daddy Mory,X Raisons,,,,,,Rap,1604483,5,1,1,6,21,2001,"13.01.18, 16:01","13.01.18, 15:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:06 Interlude.aif
Du 14.02.2002,Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,48665659,272,1,1,7,21,2001,"13.01.18, 16:01","13.01.18, 15:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:07 Du 14.02.2002.aif
Voodoo Chile,Saïan Supa Crew,,X Raisons,,,,,,Rap,12310753,66,1,1,8,21,2001,"13.01.18, 16:01","13.01.18, 15:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:08 Voodoo Chile.aif
J'entends Dire,Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,43277228,241,1,1,9,21,2001,"13.01.18, 16:01","13.01.18, 15:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:09 J'entends Dire.aif
La Dernière Séance,Saïan Supa Crew,Saïan Supa Crew,X Raisons,,,,,,Rap,33156598,184,1,1,10,21,2001,"13.01.18, 16:01","13.01.18, 15:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Saïan Supa Crew:X Raisons:10 La Dernière Séance.aif
