Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Acid For Blood,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,35743263,202,1,1,1,13,2001,"27.01.18, 13:26","27.01.18, 13:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:01 Acid For Blood.aif
New Hampshire's All Right If You Like Fighting,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,31925999,180,1,1,2,13,2001,"27.01.18, 13:26","27.01.18, 13:18",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:02 New Hampshire's All Right If You Like Fighting.aif
Rats U.S.A.,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,27991068,158,1,1,3,13,2001,"27.01.18, 13:26","27.01.18, 13:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:03 Rats U.S.A..aif
Deliver The Yankee Coffin,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,26796266,151,1,1,4,13,2001,"27.01.18, 13:26","27.01.18, 13:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:04 Deliver The Yankee Coffin.aif
The Most Dangerous Animal Is Me,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,39614672,224,1,1,5,13,2001,"27.01.18, 13:26","27.01.18, 13:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:05 The Most Dangerous Animal Is Me.aif
Hazard To Navigation,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,62650149,354,1,1,6,13,2001,"27.01.18, 13:26","27.01.18, 13:21",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:06 Hazard To Navigation.aif
Hammerdown,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,32048267,181,1,1,7,13,2001,"27.01.18, 13:26","27.01.18, 13:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:07 Hammerdown.aif
"Blizzards, Buzzards And Bastards",Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,41491569,235,1,1,8,13,2001,"27.01.18, 13:26","27.01.18, 13:22",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:08 Blizzards, Buzzards And Bastards.aif"
Mantrap,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,27520664,155,1,1,9,13,2001,"27.01.18, 13:26","27.01.18, 13:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:09 Mantrap.aif
Death In The Wilderness,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,30926379,175,1,1,10,13,2001,"27.01.18, 13:26","27.01.18, 13:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:10 Death In The Wilderness.aif
Candy Clark,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,30907551,175,1,1,11,13,2001,"27.01.18, 13:26","27.01.18, 13:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:11 Candy Clark.aif
Go Cave!,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,34562556,195,1,1,12,13,2001,"27.01.18, 13:26","27.01.18, 13:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:12 Go Cave!.aif
Cram It Clown,Scissorfight,,Mantrapping For Sport And Profit,,,,,,Punk,17969201,101,1,1,13,13,2001,"27.01.18, 13:26","27.01.18, 13:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Scissorfight:Mantrapping For Sport And Profit:13 Cram It Clown.aif
