Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Les portes du temps,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,41983186,237,1,1,1,16,1990,"03.01.18, 10:45","03.01.18, 10:34",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:01 Les portes du temps.aif
"A gauche, à droite",Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,38377590,217,1,1,2,16,1990,"03.01.18, 10:45","03.01.18, 10:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:02 A gauche, à droite.aif"
N° 1 Top 50,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,6315112,35,1,1,4,16,1990,"03.01.18, 10:45","03.01.18, 10:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:04 N° 1 Top 50.aif
Métro boulot dodo,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,39400708,223,1,1,5,16,1990,"03.01.18, 10:45","03.01.18, 10:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:05 Métro boulot dodo.aif
Que pasa con las chicas,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,40720166,230,1,1,6,16,1990,"03.01.18, 10:45","03.01.18, 10:36",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:06 Que pasa con las chicas.aif
Live,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,6773731,38,1,1,7,16,1990,"03.01.18, 10:45","03.01.18, 10:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:07 Live.aif
Fichés,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,37295646,211,1,1,8,16,1990,"03.01.18, 10:45","03.01.18, 10:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:08 Fichés.aif
Tue ton poste,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,39238396,222,1,1,9,16,1990,"03.01.18, 10:45","03.01.18, 10:37",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:09 Tue ton poste.aif
Hijo de latino,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,38290544,216,1,1,10,16,1990,"03.01.18, 10:45","03.01.18, 10:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:10 Hijo de latino.aif
L'arche de Noé,Sens Unik,"MC Carlos, Just One, Blanchet J. A.",Les portes du temps,,,,,,Rap,38683345,218,1,1,11,16,1990,"03.01.18, 10:45","03.01.18, 10:38",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Les portes du temps:11 L'arche de Noé.aif
