Name,	               Künstler,   	Komponist,	Album,	    Gruppierung,	Werk,	Nummer für Satz,	Satzzähler,	    Name für Satz,	Genre,	Größe,	    Dauer,	Disc-Nummer,	Anzahl der Discs,	Titelnummer,	Anzahl der Titel,	Jahr,	Geändert,	    Hinzugefügt,	Datenrate,	Abtastrate,	Lautstärkeanpassung,	Art,	            Equalizer,	Kommentar,	Wiedergaben,	Zuletzt gespielt,	Übersprungen,	Zuletzt übersprungen,	Meine Wertung,	 Ort
Chromatic,	           Sens Unik,	,           Chromatic,	,	            ,       ,                   ,               ,               Rap,	45216878,	255,	1,	            1,	                1,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:22,	1411,	44100,		    ,                       AIFF-Audiodatei,    ,	        ,			,				,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:01 Chromatic.aif
Rouge,                 Sens Unik,	,       	Chromatic,  ,				,		,                   ,               ,               Rap,	5985514,	33,    	1,	            1,	                2,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:23,	1411,	44100,          ,               		AIFF-Audiodatei,    ,           ,           ,				,				    ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:02 Rouge.aif
L'Ile au Tresor,       Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	47281940,	267,	1,          	1,	                3,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:23,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:03 L'Ile au Tresor.aif
What I've got,         Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	44264322,	250,	1,	            1,	                4,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:24,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:04 What I've got.aif
J'ai peur des requins, Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	44899370,	254,	1,	            1,	                5,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:24,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:05 J'ai peur des requins.aif
Les Pendules à l'heure,Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	54559060,	308,	1,	            1,	                6,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:25,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:06 Les Pendules à l'heure.aif
Vert,                  Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	6662889,	37,	    1,	            1,	                7,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:26,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:07 Vert.aif
Le 156 Rade,           Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	45339184,	256,	1,	            1,	                8,	            18,	                1994,  	25.12.17 09:32,	25.12.17 09:26,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:08 Le 156 Rade.aif
Le repas,   	       Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,   	39767293,	224,	1,	            1,	                9, 	            18,	                1994,  	25.12.17 09:32,	25.12.17 09:27,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:09 Le repas.aif
Es Mi Tierra,	       Sens Unik,	,	        Chromatic,	,				,	    ,                   ,               ,               Rap,	47227842,	267,	1,	            1,	                10,	            18,	                1994,	25.12.17 09:32,	25.12.17 09:27,	1411,	44100,		    ,                       AIFF-Audiodatei,	,			,			,	            ,                   ,               ,                       ,                Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sens Unik:Chromatic:10 Es Mi Tierra.aif
