Name	                                    Künstler	Komponist	    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Konevitsan Kirkonkellot	                    Sentenced	Traditional	    The Cold White Light						                                        Metal	17851305	100	    1	        1	                1	        11	                2002	21.01.18 08:45	21.01.18 08:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:01 Konevitsan Kirkonkellot.aif
Cross My Heart And Hope To Die	            Sentenced	Not Documented	The Cold White Light						                                        Metal	43584547	246	    1	        1	                2	        11	                2002	21.01.18 08:45	21.01.18 08:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:02 Cross My Heart And Hope To Die.aif
Brief Is The Light	                        Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	46604502	263	    1	        1	                3	        11	                2002	21.01.18 08:45	21.01.18 08:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:03 Brief Is The Light.aif
Neverlasting	                            Sentenced	Not Documented	The Cold White Light						                                        Metal	38132593	215	    1	        1	                4	        11	                2002	21.01.18 08:45	21.01.18 08:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:04 Neverlasting.aif
Aika Multaa Muistot (Everything Is Nothing)	Sentenced	Not Documented	The Cold White Light						                                        Metal	48382640	273	    1	        1	                5	        11	                2002	21.01.18 08:45	21.01.18 08:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:05 Aika Multaa Muistot (Everything Is Nothing).aif
Excuse Me While I Kill Myself	            Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	40390529	228	    1	        1	                6	        11	                2002	21.01.18 08:45	21.01.18 08:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:06 Excuse Me While I Kill Myself.aif
You Are The One	                            Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	45176835	255	    1	        1	                7	        11	                2002	21.01.18 08:45	21.01.18 08:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:07 You Are The One.aif
Blood & Tears	                            Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	47681713	269	    1	        1	                8	        11	                2002	21.01.18 08:45	21.01.18 08:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:08 Blood & Tears.aif
Guilt And Regret	                        Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	39743716	224	    1	        1	                9	        11	                2002	21.01.18 08:45	21.01.18 08:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:09 Guilt And Regret.aif
The Luxury Of A Grave	                    Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	50186602	284	    1	        1	                10	        11	                2002	21.01.18 08:45	21.01.18 08:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:10 The Luxury Of A Grave.aif
No One There	                            Sentenced	Miika Tenkula	The Cold White Light						                                        Metal	66074353	374	    1	        1	                11	        11	                2002	21.01.18 08:45	21.01.18 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sentenced:The Cold White Light:11 No One There.aif
