Name	                    Künstler	Komponist	                                Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Refuse/Resist	            Sepultura	Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.)	Chaos A.D.						                                            Metal	35492602	199	    1	        1	                1	        16	                1993	21.01.18 12:32	21.01.18 12:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:01 Refuse_Resist.aif
Territory	                Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	50964054	287	    1	        1	                2	        16	                1993	21.01.18 12:32	21.01.18 12:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:02 Territory.aif
Slave New World	            Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	31113180	175	    1	        1	                3	        16	                1993	21.01.18 12:32	21.01.18 12:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:03 Slave New World.aif
Amen	                    Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	47419585	267	    1	        1	                4	        16	                1993	21.01.18 12:32	21.01.18 12:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:04 Amen.aif
Kaiowas	                    Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	39686212	223	    1	        1	                5	        16	                1993	21.01.18 12:32	21.01.18 12:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:05 Kaiowas.aif
Propaganda	                Sepultura	Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.)	Chaos A.D.						                                            Metal	37875175	213	    1	        1	                6	        16	                1993	21.01.18 12:32	21.01.18 12:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:06 Propaganda.aif
Biotech Is Godzilla	        Sepultura	Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.)	Chaos A.D.						                                            Metal	20110528	112	    1	        1	                7	        16	                1993	21.01.18 12:32	21.01.18 12:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:07 Biotech Is Godzilla.aif
Nomad	                    Sepultura	Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.)	Chaos A.D.						                                            Metal	53010290	299	    1	        1	                8	        16	                1993	21.01.18 12:32	21.01.18 12:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:08 Nomad.aif
We Who Are Not As Others	Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	39521589	222	    1	        1	                9	        16	                1993	21.01.18 12:32	21.01.18 12:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:09 We Who Are Not As Others.aif
Manifest	                Sepultura	Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr	Chaos A.D.						                                            Metal	51352136	289	    1	        1	                10	        16	                1993	21.01.18 12:32	21.01.18 12:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Chaos A.D_:10 Manifest.aif
