Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Roots Bloody Roots,Sepultura,Paulo Pinto Jr,Roots,,,,,,Metal,38200392,212,1,1,1,16,1996,"21.01.18, 13:50","21.01.18, 13:17",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:01 Roots Bloody Roots.aif
Attitude,Sepultura,Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr,Roots,,,,,,Metal,45715050,255,1,1,2,16,1996,"21.01.18, 13:50","21.01.18, 13:18",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:02 Attitude.aif
Cut-Throat,Sepultura,Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr,Roots,,,,,,Metal,29721452,164,1,1,3,16,1996,"21.01.18, 13:50","21.01.18, 13:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:03 Cut-Throat.aif
Ratamahatta,Sepultura,"Andreas Kisser/Andreas Kisser, Sepultura",Roots,,,,,,Metal,48403387,270,1,1,4,16,1996,"21.01.18, 13:50","21.01.18, 13:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:04 Ratamahatta.aif
Breed Apart,Sepultura,Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.),Roots,,,,,,Metal,43198413,241,1,1,5,16,1996,"21.01.18, 13:50","21.01.18, 13:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:05 Breed Apart.aif
Straighthate,Sepultura,Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.),Roots,,,,,,Metal,57397438,321,1,1,6,16,1996,"21.01.18, 13:50","21.01.18, 13:21",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:06 Straighthate.aif
Spit,Sepultura,Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.),Roots,,,,,,Metal,29916662,165,1,1,7,16,1996,"21.01.18, 13:50","21.01.18, 13:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:07 Spit.aif
Lookaway,Sepultura,Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr/Leor Dimant,Roots,,,,,,Metal,58121862,325,1,1,8,16,1996,"21.01.18, 13:50","21.01.18, 13:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:08 Lookaway.aif
Dusted,Sepultura,Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr,Roots,,,,,,Metal,43668808,243,1,1,9,16,1996,"21.01.18, 13:50","21.01.18, 13:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:09 Dusted.aif
Born Stubborn,Sepultura,Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.),Roots,,,,,,Metal,44350896,247,1,1,10,16,1996,"21.01.18, 13:50","21.01.18, 13:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:10 Born Stubborn.aif
Jasco,Sepultura,"Andreas Kisser/Andreas Kisser, Sepultura",Roots,,,,,,Metal,21447110,117,1,1,11,16,1996,"21.01.18, 13:50","21.01.18, 13:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:11 Jasco.aif
Itsári,Sepultura,Paulo Pinto Jr. (Paulo Jr.)/Paulo Pinto Jr,Roots,,,,,,Metal,51583298,288,1,1,12,16,1996,"21.01.18, 13:50","21.01.18, 13:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:12 Itsári.aif
Ambush,Sepultura,Paulo Pinto Jr/Paulo Pinto Jr. (Paulo Jr.),Roots,,,,,,Metal,49948649,279,1,1,13,16,1996,"21.01.18, 13:50","21.01.18, 13:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sepultura:Roots:13 Ambush.aif
