Name	Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	Datenrate	Abtastrate	Lautstärkeanpassung	Art	Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort,,
Cours Vite	Silmarils	David Salsedo	Silmarils						Metal	33701397	190	1	1	1	12	1995	21.01.18,14:51	21.01.18,14:45	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:01 Cours Vite.aif
Fils d'Abraham	Silmarils	David Salsedo	Silmarils						Metal	38083177	215	1	1	2	12	1995	21.01.18,14:51	21.01.18,14:45	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:02 Fils d'Abraham.aif
Victimes De La Croix	Silmarils	David Salsedo	Silmarils						Metal	44845183	254	1	1	3	12	1995	21.01.18,14:51	21.01.18,14:46	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:03 Victimes De La Croix.aif
Killing Da Movement	Silmarils	Silmarils	Silmarils						Metal	39818954	225	1	1	4	12	1995	21.01.18,14:51	21.01.18,14:47	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:04 Killing Da Movement.aif
Love Your Mum	Silmarils	David Salsedo	Silmarils						Metal	32055000	181	1	1	5	12	1995	21.01.18,14:51	21.01.18,14:47	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:05 Love Your Mum.aif
L'Agresse	Silmarils	David Salsedo	Silmarils						Metal	34108292	193	1	1	6	12	1995	21.01.18,14:51	21.01.18,14:47	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:06 L'Agresse.aif
Mackina	Silmarils	David Salsedo	Silmarils						Metal	28258866	159	1	1	7	12	1995	21.01.18,14:51	21.01.18,14:48	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:07 Mackina.aif
Je Ne Jure De Rien	Silmarils	Silmarils	Silmarils						Metal	41768761	236	1	1	8	12	1995	21.01.18,14:51	21.01.18,14:48	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:08 Je Ne Jure De Rien.aif
Communication	Silmarils	Silmarils	Silmarils						Metal	38259572	216	1	1	9	12	1995	21.01.18,14:51	21.01.18,14:48	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:09 Communication.aif
Just Be True	Silmarils	Silmarils	Silmarils						Metal	36890710	208	1	1	10	12	1995	21.01.18,14:51	21.01.18,14:49	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:10 Just Be True.aif
No Justice No Peace	Silmarils	David Salsedo	Silmarils						Metal	33901329	191	1	1	11	12	1995	21.01.18,14:51	21.01.18,14:49	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:11 No Justice No Peace.aif
Payer Le Prix	Silmarils	David Salsedo	Silmarils						Metal	45075675	255	1	1	12	12	1995	21.01.18,14:51	21.01.18,14:50	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Silmarils:12 Payer Le Prix.aif
