Name	                    Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Tant Que Parle l'Economie	Silmarils	Silmarils	Original Karma						                                            Metal	42215635	234	    1	        1	                1	        11	                1997	21.01.18 15:01	21.01.18 14:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:01 Tant Que Parle l'Economie.aif
En Attendant	            Silmarils	Silmarils	Original Karma						                                            Metal	40550406	225	    1	        1	                2	        11	                1997	21.01.18 15:01	21.01.18 14:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:02 En Attendant.aif
Karma	                    Silmarils	Silmarils	Original Karma						                                            Metal	40082351	222	    1	        1	                3	        11	                1997	21.01.18 15:01	21.01.18 14:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:03 Karma.aif
L'Homme Providentiel	    Silmarils	Silmarils	Original Karma						                                            Metal	38880494	215	    1	        1	                4	        11	                1997	21.01.18 15:01	21.01.18 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:04 L'Homme Providentiel.aif
Le Cours De l'Histoire	    Silmarils	Silmarils	Original Karma						                                            Metal	46291648	257	    1	        1	                5	        11	                1997	21.01.18 15:01	21.01.18 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:05 Le Cours De l'Histoire.aif
Disco	                    Silmarils	Silmarils	Original Karma						                                            Metal	38880479	215	    1	        1	                6	        11	                1997	21.01.18 15:01	21.01.18 14:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:06 Disco.aif
Don't Call Me Run Fast	    Silmarils	Silmarils	Original Karma						                                            Metal	45308512	252	    1	        1	                7	        11	                1997	21.01.18 15:01	21.01.18 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:07 Don't Call Me Run Fast.aif
Runaway Shooting	        Silmarils	Silmarils	Original Karma						                                            Metal	39329722	218	    1	        1	                8	        11	                1997	21.01.18 15:01	21.01.18 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:08 Runaway Shooting.aif
I Try	                    Silmarils	Silmarils	Original Karma						                                            Metal	49988975	278	    1	        1	                9	        11	                1997	21.01.18 15:01	21.01.18 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:09 I Try.aif
Tout Reste A Faire	        Silmarils	Silmarils	Original Karma						                                            Metal	45924733	255	    1	        1	                10	        11	                1997	21.01.18 15:01	21.01.18 14:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:10 Tout Reste A Faire.aif
Who Cares	                Silmarils	Silmarils	Original Karma						                                            Metal	48648340	271	    1	        1	                11	        11	                1997	21.01.18 15:01	21.01.18 14:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Silmarils:Original Karma:11 Who Cares.aif
