Name	            Künstler	Komponist	                                                                                                        Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Planeta Eskoria	    Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	46074951	259	    1	        1	                1	        14	                2000	27.01.18 12:24	27.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:01 Planeta Eskoria.aif
Vergüenza	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	41039325	231	    1	        1	                2	        14	                2000	27.01.18 12:24	27.01.18 11:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:02 Vergüenza.aif
Cómo Me Pongo	    Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	29373413	164	    1	        1	                3	        14	                2000	27.01.18 12:24	27.01.18 11:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:03 Cómo Me Pongo.aif
El Auténtico	    Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	39178899	220	    1	        1	                4	        14	                2000	27.01.18 12:24	27.01.18 11:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:04 El Auténtico.aif
Naval Xixón	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	37937041	213	    1	        1	                5	        14	                2000	27.01.18 12:24	27.01.18 11:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:05 Naval Xixón.aif
La Mosca Cojonera	Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	42076553	236	    1	        1	                6	        14	                2000	27.01.18 12:24	27.01.18 12:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:06 La Mosca Cojonera.aif
Eres Un@ Más	    Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	45505779	256	    1	        1	                7	        14	                2000	27.01.18 12:24	27.01.18 12:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:07 Eres Un@ Más.aif
Derecho De Admisión	Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	58648769	330	    1	        1	                8	        14	                2000	27.01.18 12:24	27.01.18 12:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:08 Derecho De Admisión.aif
A La Mierda	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	41469731	233	    1	        1	                9	        14	                2000	27.01.18 12:24	27.01.18 12:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:09 A La Mierda.aif
E.T.T.s	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	43953440	247	    1	        1	                10	        14	                2000	27.01.18 12:24	27.01.18 12:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:10 E.T.T.s.aif
Lucrecia	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	47653137	268	    1	        1	                11	        14	                2000	27.01.18 12:24	27.01.18 12:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:11 Lucrecia.aif
Tío Sam	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	46345434	261	    1	        1	                12	        14	                2000	27.01.18 12:24	27.01.18 12:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:12 Tío Sam.aif
Violencia Machista	Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	44597899	251	    1	        1	                13	        14	                2000	27.01.18 12:24	27.01.18 12:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:13 Violencia Machista.aif
Mestizaje	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado	Planeta Eskoria						                                            Ska Punk	48067090	270	    1	        1	                14	        14	                2000	27.01.18 12:24	27.01.18 12:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:Planeta Eskoria:14 Mestizaje.aif
