Name	                Künstler	Komponist	                                                                                                                            Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
La Estampida	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	35937760	203	    1	        1	                1	        12	                2002	27.01.18 13:11	27.01.18 13:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:01 La Estampida.aif
Consumo Gusto	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	42179969	238	    1	        1	                2	        12	                2002	27.01.18 13:11	27.01.18 13:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:02 Consumo Gusto.aif
Welcome To Hell	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	44567251	251	    1	        1	                3	        12	                2002	27.01.18 13:11	27.01.18 13:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:03 Welcome To Hell.aif
Casposos	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	52890972	299	    1	        1	                4	        12	                2002	27.01.18 13:11	27.01.18 13:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:04 Casposos.aif
El Niño Soldado	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	39141205	221	    1	        1	                5	        12	                2002	27.01.18 13:11	27.01.18 13:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:05 El Niño Soldado.aif
Intifada	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	38049852	215	    1	        1	                6	        12	                2002	27.01.18 13:11	27.01.18 13:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:06 Intifada.aif
McDóllar	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	42224663	238	    1	        1	                7	        12	                2002	27.01.18 13:11	27.01.18 13:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:07 McDóllar.aif
Solamente Por Pensar	Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	35893080	202	    1	        1	                8	        12	                2002	27.01.18 13:11	27.01.18 13:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:08 Solamente Por Pensar.aif
Insensibilidad	        Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	48904338	276	    1	        1	                9	        12	                2002	27.01.18 13:11	27.01.18 13:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:09 Insensibilidad.aif
Esquirol	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	38722527	218	    1	        1	                10	        12	                2002	27.01.18 13:11	27.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:10 Esquirol.aif
El Olvidado	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	37038498	209	    1	        1	                11	        12	                2002	27.01.18 13:11	27.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:11 El Olvidado.aif
Mis Colegas	            Ska-P	    Alberto Javier Amado/José Miguel Redin Redin/Julio César Sánchez Suárez/Luis Miguel Garcia Planello/Ricardo Delgado/Roberto Gañán Ojea	¡¡Que Corra La Voz!!						                                        Ska Punk	44475522	251	    1	        1	                12	        12	                2002	27.01.18 13:11	27.01.18 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ska-P:¡¡Que Corra La Voz!!:12 Mis Colegas.aif
