Name	                Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
My Enemy	            Skid Row		        Subhuman Race						                                            Metal	38611477	218	    1	        1	                1	        13	                1995	21.01.18 09:03	21.01.18 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:01 My Enemy.aif
Firesign	            Skid Row		        Subhuman Race						                                            Metal	51968485	294	    1	        1	                2	        13	                1995	21.01.18 09:03	21.01.18 08:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:02 Firesign.aif
Bonehead	            Skid Row		        Subhuman Race						                                            Metal	24104341	136	    1	        1	                3	        13	                1995	21.01.18 09:03	21.01.18 08:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:03 Bonehead.aif
Beat Yourself Blind	    Skid Row		        Subhuman Race						                                            Metal	53480832	302	    1	        1	                4	        13	                1995	21.01.18 09:03	21.01.18 08:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:04 Beat Yourself Blind.aif
Eileen	                Skid Row		        Subhuman Race						                                            Metal	59367875	336	    1	        1	                5	        13	                1995	21.01.18 09:03	21.01.18 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:05 Eileen.aif
Remains To Be Seen	    Skid Row		        Subhuman Race						                                            Metal	37828271	214	    1	        1	                6	        13	                1995	21.01.18 09:03	21.01.18 08:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:06 Remains To Be Seen.aif
Subhuman Race	        Skid Row		        Subhuman Race						                                            Metal	28373226	160	    1	        1	                7	        13	                1995	21.01.18 09:03	21.01.18 08:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:07 Subhuman Race.aif
Frozen      	        Skid Row		        Subhuman Race						                                            Metal	50117459	283	    1	        1	                8	        13	                1995	21.01.18 09:03	21.01.18 08:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:08 Frozen.aif
Into Another	        Skid Row		        Subhuman Race						                                            Metal	42830969	242	    1	        1	                9	        13	                1995	21.01.18 09:03	21.01.18 08:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:09 Into Another.aif
Face Against My Soul	Skid Row		        Subhuman Race						                                            Metal	46048514	260	    1	        1	                10	        13	                1995	21.01.18 09:03	21.01.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:10 Face Against My Soul.aif
Medicine Jar	        Skid Row		        Subhuman Race						                                            Metal	38204586	216	    1	        1	                11	        13	                1995	21.01.18 09:03	21.01.18 09:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:11 Medicine Jar.aif
Breakin' Down	        Skid Row		        Subhuman Race						                                            Metal	47807803	270	    1	        1	                12	        13	                1995	21.01.18 09:03	21.01.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:12 Breakin' Down.aif
Ironwill	            Skid Row		        Subhuman Race						                                            Metal	81768326	463	    1	        1	                13	        13	                1995	21.01.18 09:03	21.01.18 09:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Skid Row:Subhuman Race:13 Ironwill.aif
