Name	            Künstler	Komponist	                        Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Darkness Of Christ	Slayer	    Jeff Henneman/Kerry King	        God Hates Us All						                                            Metal	16103264	90	    1	        1	                1	        13	                2001	21.01.18 14:33	21.01.18 14:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:01 Darkness Of Christ.aif
Disciple	        Slayer	    Kerry King/Jeff Hanneman	        God Hates Us All						                                            Metal	38181478	215	    1	        1	                2	        13	                2001	21.01.18 14:33	21.01.18 14:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:02 Disciple.aif
God Send Death	    Slayer	    Jeff Hanneman/Tom Araya	            God Hates Us All						                                            Metal	39976059	225	    1	        1	                3	        13	                2001	21.01.18 14:33	21.01.18 14:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:03 God Send Death.aif
New Faith	        Slayer	    Kerry King	                        God Hates Us All						                                            Metal	32901225	185	    1	        1	                4	        13	                2001	21.01.18 14:33	21.01.18 14:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:04 New Faith.aif
Cast Down	        Slayer	    La K De King	                    God Hates Us All						                                            Metal	36572699	206	    1	        1	                5	        13	                2001	21.01.18 14:33	21.01.18 14:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:05 Cast Down.aif
Threshold	        Slayer	    Kerry King/Jeff Henneman	        God Hates Us All						                                            Metal	26463815	149	    1	        1	                6	        13	                2001	21.01.18 14:33	21.01.18 14:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:06 Threshold.aif
Exile	            Slayer	    Kerry King	                        God Hates Us All						                                            Metal	41664773	235	    1	        1	                7	        13	                2001	21.01.18 14:33	21.01.18 14:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:07 Exile.aif
Seven Faces	        Slayer	    La K De King	                    God Hates Us All						                                            Metal	39263389	221	    1	        1	                8	        13	                2001	21.01.18 14:33	21.01.18 14:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:08 Seven Faces.aif
Bloodline	        Slayer	    Tom Araya/Jeff Henneman/Kerry King	God Hates Us All						                                            Metal	38407281	216	    1	        1	                9	        13	                2001	21.01.18 14:33	21.01.18 14:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:09 Bloodline.aif
Deviance	        Slayer	    Tom Araya/Jeff Henneman	            God Hates Us All						                                            Metal	33453960	188	    1	        1	                10	        13	                2001	21.01.18 14:33	21.01.18 14:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:10 Deviance.aif
War Zone	        Slayer	    Kerry King	                        God Hates Us All						                                            Metal	29305019	165	    1	        1	                11	        13	                2001	21.01.18 14:33	21.01.18 14:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:11 War Zone.aif
Here Comes The Pain	Slayer	    Kerry King	                        God Hates Us All						                                            Metal	48142198	272	    1	        1	                12	        13	                2001	21.01.18 14:33	21.01.18 14:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:12 Here Comes The Pain.aif
Payback	            Slayer	    Kerry King	                        God Hates Us All						                                            Metal	32421418	183	    1	        1	                13	        13	                2001	21.01.18 14:33	21.01.18 14:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:God Hates Us All:13 Payback.aif
