Name	                        Künstler	Komponist	    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
World Painted Blood	            Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	62762277	353	    1	        1	                1	        11	                2009	31.03.18 15:13	31.03.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:01 World Painted Blood.aif
Unit 731	                    Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	28662970	159	    1	        1	                2	        11	                2009	31.03.18 15:13	31.03.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:02 Unit 731.aif
Snuff	                        Slayer	    Kerry King	    World Painted Blood						                                            Metal	39677380	222	    1	        1	                3	        11	                2009	31.03.18 15:13	31.03.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:03 Snuff.aif
Beauty Through Order	        Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	49268854	276	    1	        1	                4	        11	                2009	31.03.18 15:13	31.03.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:04 Beauty Through Order.aif
Hate Worldwide	                Slayer	    Kerry King	    World Painted Blood						                                            Metal	30815053	172	    1	        1	                5	        11	                2009	31.03.18 15:13	31.03.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:05 Hate Worldwide.aif
Public Display Of Dismemberment	Slayer	    Kerry King	    World Painted Blood						                                            Metal	27780990	154	    1	        1	                6	        11	                2009	31.03.18 15:13	31.03.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:06 Public Display Of Dismemberment.aif
Human Strain	                Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	33823262	189	    1	        1	                7	        11	                2009	31.03.18 15:13	31.03.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:07 Human Strain.aif
Americon	                    Slayer	    Kerry King	    World Painted Blood						                                            Metal	36243463	202	    1	        1	                8	        11	                2009	31.03.18 15:13	31.03.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:08 Americon.aif
Psychopathy Red	                Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	26299217	146	    1	        1	                9	        11	                2009	31.03.18 15:13	31.03.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:09 Psychopathy Red.aif
Playing With Dolls	            Slayer	    Jeff Hanneman	World Painted Blood						                                            Metal	45251639	253	    1	        1	                10	        11	                2009	31.03.18 15:13	31.03.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:10 Playing With Dolls.aif
Not Of This God	                Slayer	    Kerry King	    World Painted Blood						                                            Metal	46392353	260	    1	        1	                11	        11	                2009	31.03.18 15:13	31.03.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slayer:World Painted Blood:11 Not Of This God.aif
