Name	            Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
7426	            Slipknot	Slipknot	Slipknot						                                        Metal	6418792	    36	    1	        1	                1	        14	                1999	21.01.18 15:30	21.01.18 15:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:01 7426.aif
(Sic)	            Slipknot	Slipknot	Slipknot						                                        Metal	35336633	199	    1	        1	                2	        14	                1999	21.01.18 15:30	21.01.18 15:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:02 (Sic).aif
Eyeless	            Slipknot	Slipknot	Slipknot						                                        Metal	41762299	236	    1	        1	                3	        14	                1999	21.01.18 15:30	21.01.18 15:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:03 Eyeless.aif
Wait And Bleed	    Slipknot	Slipknot	Slipknot						                                        Metal	26147378	147	    1	        1	                4	        14	                1999	21.01.18 15:30	21.01.18 15:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:04 Wait And Bleed.aif
Surfacing	        Slipknot	Slipknot	Slipknot						                                        Metal	38540061	218	    1	        1	                5	        14	                1999	21.01.18 15:30	21.01.18 15:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:05 Surfacing.aif
Spit It Out	        Slipknot	Slipknot	Slipknot						                                        Metal	28252415	159	    1	        1	                6	        14	                1999	21.01.18 15:30	21.01.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:06 Spit It Out.aif
Tattered & Torn	    Slipknot	Slipknot	Slipknot						                                        Metal	30738483	173	    1	        1	                7	        14	                1999	21.01.18 15:30	21.01.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:07 Tattered & Torn.aif
Me Inside	        Slipknot	Slipknot	Slipknot						                                        Metal	28191261	159	    1	        1	                8	        14	                1999	21.01.18 15:30	21.01.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:08 Me Inside.aif
Liberate	        Slipknot	Slipknot	Slipknot						                                        Metal	32984636	186	    1	        1	                9	        14	                1999	21.01.18 15:30	21.01.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:09 Liberate.aif
Prosthetics	        Slipknot	Slipknot	Slipknot						                                        Metal	52694400	298	    1	        1	                10	        14	                1999	21.01.18 15:30	21.01.18 15:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:10 Prosthetics.aif
No Life	            Slipknot	Slipknot	Slipknot						                                        Metal	29593052	167	    1	        1	                11	        14	                1999	21.01.18 15:30	21.01.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:11 No Life.aif
Diluted	            Slipknot	Slipknot	Slipknot						                                        Metal	35882300	203	    1	        1	                12	        14	                1999	21.01.18 15:30	21.01.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:12 Diluted.aif
Only One	        Slipknot	Slipknot	Slipknot						                                        Metal	25900413	146	    1	        1	                13	        14	                1999	21.01.18 15:30	21.01.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:13 Only One.aif
Scissors / Eeyore	Slipknot	Slipknot	Slipknot						                                        Metal	204398406	1158	1	        1	                14	        14	                1999	21.01.18 15:30	21.01.18 15:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Slipknot:14 Scissors _ Eeyore.aif
