Name	            Künstler	Komponist	                                                Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
(515)	            Slipknot	Corey Taylor/Joey Jordison/Shawn Crahan (Clown)/Paul Gray	Iowa						                                            Metal	10664114	59	    1	        1	                1	        14	                2001	21.01.18 15:39	21.01.18 15:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:01 (515).aif
People = Shit	    Slipknot	Slipknot	                                                Iowa						                                            Metal	38130729	215	    1	        1	                2	        14	                2001	21.01.18 15:39	21.01.18 15:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:02 People = Shit.aif
Disasterpiece	    Slipknot	Slipknot	                                                Iowa						                                            Metal	54484185	308	    1	        1	                3	        14	                2001	21.01.18 15:39	21.01.18 15:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:03 Disasterpiece.aif
My Plague	        Slipknot	Slipknot	                                                Iowa						                                            Metal	38958629	220	    1	        1	                4	        14	                2001	21.01.18 15:39	21.01.18 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:04 My Plague.aif
Everything Ends	    Slipknot	Slipknot	                                                Iowa						                                            Metal	44923307	254	    1	        1	                5	        14	                2001	21.01.18 15:39	21.01.18 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:05 Everything Ends.aif
The Heretic Anthem	Slipknot	Slipknot	                                                Iowa						                                            Metal	44904494	254	    1	        1	                6	        14	                2001	21.01.18 15:39	21.01.18 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:06 The Heretic Anthem.aif
Gently	            Slipknot	Slipknot	                                                Iowa						                                            Metal	51960482	294	    1	        1	                7	        14	                2001	21.01.18 15:39	21.01.18 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:07 Gently.aif
Left Behind	        Slipknot	Slipknot	                                                Iowa						                                            Metal	42693607	241	    1	        1	                8	        14	                2001	21.01.18 15:39	21.01.18 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:08 Left Behind.aif
The Shape	        Slipknot	Slipknot	                                                Iowa						                                            Metal	38495285	217	    1	        1	                9	        14	                2001	21.01.18 15:39	21.01.18 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:09 The Shape.aif
I Am Hated	        Slipknot	Slipknot	                                                Iowa						                                            Metal	27939511	157	    1	        1	                10	        14	                2001	21.01.18 15:39	21.01.18 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:10 I Am Hated.aif
Skin Ticket	        Slipknot	Slipknot	                                                Iowa						                                            Metal	70870568	401	    1	        1	                11	        14	                2001	21.01.18 15:39	21.01.18 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:11 Skin Ticket.aif
New Abortion	    Slipknot	Slipknot	                                                Iowa						                                            Metal	38307129	216	    1	        1	                12	        14	                2001	21.01.18 15:39	21.01.18 15:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:12 New Abortion.aif
Metabolic	        Slipknot	Slipknot	                                                Iowa						                                            Metal	42340806	239	    1	        1	                13	        14	                2001	21.01.18 15:39	21.01.18 15:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:13 Metabolic.aif
Iowa	            Slipknot	Slipknot	                                                Iowa						                                            Metal	159446881	903	    1	        1	                14	        14	                2001	21.01.18 15:39	21.01.18 15:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Slipknot:Iowa:14 Iowa.aif
