Name	            Künstler	        Komponist	            Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Soothe	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	27565206	156	    1	        1	                1	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:01 Soothe.aif
Frail And Bedazzled	Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	34814082	197	    1	        1	                2	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:02 Frail And Bedazzled.aif
Plume	            Smashing Pumpkins	James Iha	            Pisces Iscariot						                                            Alternative	38462018	217	    1	        1	                3	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:03 Plume.aif
Whir	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	44146804	250	    1	        1	                4	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:04 Whir.aif
Blew Away	        Smashing Pumpkins	James Iha	            Pisces Iscariot						                                            Alternative	37495350	212	    1	        1	                5	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:05 Blew Away.aif
Pissant	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	26659686	151	    1	        1	                6	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:06 Pissant.aif
Hello Kitty Kat	    Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	48086414	272	    1	        1	                7	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:07 Hello Kitty Kat.aif
Obscured	        Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	56882888	322	    1	        1	                8	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:08 Obscured.aif
Landslide	        Smashing Pumpkins	Stevie Nicks	        Pisces Iscariot						                                            Alternative	33680408	190	    1	        1	                9	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:09 Landslide.aif
Starla	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	116682486	661	    1	        1	                10	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:10 Starla.aif
Blue	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	35244484	199	    1	        1	                11	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:11 Blue.aif
Girl Named Sandoz	Smashing Pumpkins	Eric Burdon/John Weider	Pisces Iscariot						                                            Alternative	37914028	214	    1	        1	                12	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:12 Girl Named Sandoz.aif
La Dolly Vita	    Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	45306350	256	    1	        1	                13	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:13 La Dolly Vita.aif
Spaced	            Smashing Pumpkins	Billy Corgan	        Pisces Iscariot						                                            Alternative	25476630	144	    1	        1	                14	        14	                1994	02.01.18 17:08	02.01.18 17:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Pisces Iscariot:14 Spaced.aif
