Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Mellon Collie And The Infinite Sadness,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,30458390,172,1,2,1,14,1995,"02.01.18, 17:12","02.01.18, 17:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-01 Mellon Collie And The Infinite Sadness.aif
"Tonight, Tonight",Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,44986672,254,1,2,2,14,1995,"02.01.18, 17:12","02.01.18, 17:06",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-02 Tonight, Tonight.aif"
Jellybelly,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,32081242,181,1,2,3,14,1995,"02.01.18, 17:12","02.01.18, 17:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-03 Jellybelly.aif
Zero,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,28376836,160,1,2,4,14,1995,"02.01.18, 17:12","02.01.18, 17:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-04 Zero.aif
Here Is No Why,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,39713486,224,1,2,5,14,1995,"02.01.18, 17:12","02.01.18, 17:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-05 Here Is No Why.aif
Bullet With Butterfly Wings,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,45577035,257,1,2,6,14,1995,"02.01.18, 17:12","02.01.18, 17:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-06 Bullet With Butterfly Wings.aif
To Forgive,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,45346522,256,1,2,7,14,1995,"02.01.18, 17:12","02.01.18, 17:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-07 To Forgive.aif
An Ode To No One,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,51402928,291,1,2,8,14,1995,"02.01.18, 17:12","02.01.18, 17:08",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-08 An Ode To No One.aif
Love,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,46204996,261,1,2,9,14,1995,"02.01.18, 17:12","02.01.18, 17:08",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-09 Love.aif
Cupid De Locke,Smashing Pumpkins,Billy Corgan,Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1],,,,,,Alternative,30093807,170,1,2,10,14,1995,"02.01.18, 17:12","02.01.18, 17:08",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Dawn To Dusk [Disc 1]:1-10 Cupid De Locke.aif
