Name	                    Künstler	        Komponist	                                    Album	                                                                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Where Boys Fear To Tread	Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	46482643	263	    2	        2	                1	        14	                1995	02.01.18 17:21	02.01.18 17:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-01 Where Boys Fear To Tread.aif
Bodies	                    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	44570449	252	    2	        2	                2	        14	                1995	02.01.18 17:21	02.01.18 17:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-02 Bodies.aif
Thirty-Three	            Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	44264695	250	    2	        2	                3	        14	                1995	02.01.18 17:21	02.01.18 17:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-03 Thirty-Three.aif
In The Arms Of Sleep	    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	44622207	252	    2	        2	                4	        14	                1995	02.01.18 17:21	02.01.18 17:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-04 In The Arms Of Sleep.aif
1979	                    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	46988303	265	    2	        2	                5	        14	                1995	02.01.18 17:21	02.01.18 17:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-05 1979.aif
Tales Of A Scorched Earth	Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	39918212	225	    2	        2	                6	        14	                1995	02.01.18 17:21	02.01.18 17:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-06 Tales Of A Scorched Earth.aif
Thru The Eyes Of Ruby	    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	80897104	458	    2	        2	                7	        14	                1995	02.01.18 17:21	02.01.18 17:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-07 Thru The Eyes Of Ruby.aif
Stumbleine	                Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	30853589	174	    2	        2	                8	        14	                1995	02.01.18 17:21	02.01.18 17:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-08 Stumbleine.aif
X.Y.U.	                    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	75421633	427	    2	        2	                9	        14	                1995	02.01.18 17:21	02.01.18 17:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-09 X.Y.U..aif
We Only Come Out At Night	Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	43366245	245	    2	        2	                10	        14	                1995	02.01.18 17:21	02.01.18 17:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-10 We Only Come Out At Night.aif
Beautiful	                Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	45645317	258	    2	        2	                11	        14	                1995	02.01.18 17:21	02.01.18 17:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-11 Beautiful.aif
Lily (My One And Only)	    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	37443906	211	    2	        2	                12	        14	                1995	02.01.18 17:21	02.01.18 17:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-12 Lily (My One And Only).aif
By Starlight	            Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	50909096	288	    2	        2	                13	        14	                1995	02.01.18 17:21	02.01.18 17:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-13 By Starlight.aif
Farewell And Goodnight	    Smashing Pumpkins	Billy Corgan/D'Arcy/James Iha/Jimmy Chamberlin	Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]						                                            Alternative	46452066	262	    2	        2	                14	        14	                1995	02.01.18 17:21	02.01.18 17:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smashing Pumpkins:Mellon Collie And The Infinite Sadness - Twilight To Starlight [Disc 2]:2-14 Farewell And Goodnight.aif
