Name	                                Künstler	    Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Aufgeregt	                            Smith & Smart		        Scari Monstri						                                            Alternative	14399057	81			                            1	        14		                    28.12.17 10:13	28.12.17 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:01 Aufgeregt.aif
Wir Kommen Der Sache Allmälich Naher	Smith & Smart		        Scari Monstri						                                            Alternative	32834099	185			                            2	        14		                    28.12.17 10:13	28.12.17 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:02 Wir Kommen Der Sache Allmälich Naher.aif
Dinge	                                Smith & Smart		        Scari Monstri						                                            Alternative	52588477	297			                            3	        14		                    28.12.17 10:13	28.12.17 09:59	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:03 Dinge.aif
Tour De Skit	                        Smith & Smart		        Scari Monstri						                                            Alternative	9236420	    52			                            4	        14		                    28.12.17 10:13	28.12.17 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:04 Tour De Skit.aif
Technogrätsche	                        Smith & Smart		        Scari Monstri						                                            Alternative	41171895	233			                            5	        14		                    28.12.17 10:13	28.12.17 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:05 Technogrätsche.aif
Was Dass Denn Jezt Soll	                Smith & Smart		        Scari Monstri						                                            Alternative	33285631	188			                            6	        14		                    28.12.17 10:13	28.12.17 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:06 Was Dass Denn Jezt Soll.aif
Roberto &monika	                        Smith & Smart		        Scari Monstri						                                            Alternative	13232471	74			                            7	        14		                    28.12.17 10:13	28.12.17 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:07 Roberto &monika.aif
Terror 1000	                            Smith & Smart		        Scari Monstri						                                            Alternative	45396067	257			                            8	        14		                    28.12.17 10:13	28.12.17 10:02	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:08 Terror 1000.aif
Nüscht	                                Smith & Smart		        Scari Monstri						                                            Alternative	50474039	285			                            9	        14		                    28.12.17 10:13	28.12.17 10:02	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:09 Nüscht.aif
So Siehts Aus	                        Smith & Smart		        Scari Monstri						                                            Alternative	42618358	241			                            10	        14		                    28.12.17 10:13	28.12.17 10:03	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:10 So Siehts Aus.aif
Wixbrüder 2 Aka Clbv	                Smith & Smart		        Scari Monstri						                                            Alternative	12863236	72			                            11	        14		                    28.12.17 10:13	28.12.17 10:04	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:11 Wixbrüder 2 Aka Clbv.aif
Wer Bezahlt Das Taxi	                Smith & Smart		        Scari Monstri						                                            Alternative	31519277	178			                            12	        14		                    28.12.17 10:13	28.12.17 10:04	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:12 Wer Bezahlt Das Taxi.aif
Buissness Film	                        Smith & Smart		        Scari Monstri						                                            Alternative	54608855	309			                            13	        14		                    28.12.17 10:13	28.12.17 10:04	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:13 Buissness Film.aif
Mag Sein	                            Smith & Smart		        Scari Monstri						                                            Alternative	57424193	325			                            14	        14		                    28.12.17 10:13	28.12.17 10:05	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Scari Monstri:14 Mag Sein.aif
