Name	                    Künstler	    Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Once Upon A Time...	        Smith & Smart		        S&S						                                                Rap	    55848974	316	    1	        1	                1	        10	                2009	28.12.17 10:41	28.12.17 10:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:01 Once Upon A Time....aif
Break 2 Beatels	            Smith & Smart		        S&S						                                                Rap	    112579210	638	    1	        1	                2	        10	                2009	28.12.17 10:41	28.12.17 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:02 Break 2 Beatels.aif
Funny Taxi	                Smith & Smart		        S&S						                                                Rap	    50112437	283	    1	        1	                3	        10	                2009	28.12.17 10:41	28.12.17 10:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:03 Funny Taxi.aif
Satisfaction Jam	        Smith & Smart		        S&S						                                                Rap	    65649755	371	    1	        1	                4	        10	                2009	28.12.17 10:41	28.12.17 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:04 Satisfaction Jam.aif
Rock In Your Head	        Smith & Smart		        S&S						                                                Rap	    67583100	382	    1	        1	                5	        10	                2009	28.12.17 10:41	28.12.17 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:05 Rock In Your Head.aif
U Turn 2 Disco	            Smith & Smart		        S&S						                                                Rap	    68505081	388	    1	        1	                6	        10	                2009	28.12.17 10:41	28.12.17 10:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:06 U Turn 2 Disco.aif
Get This Massacre Startet	Smith & Smart		        S&S						                                                Rap	    104100260	589	    1	        1	                7	        10	                2009	28.12.17 10:41	28.12.17 10:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:07 Get This Massacre Startet.aif
4 Example Beatbox	        Smith & Smart		        S&S						                                                Rap	    14380860	81	    1	        1	                8	        10	                2009	28.12.17 10:41	28.12.17 10:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:08 4 Example Beatbox.aif
Missy Bass	                Smith & Smart		        S&S						                                                Rap	    41668757	236	    1	        1	                9	        10	                2009	28.12.17 10:41	28.12.17 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:09 Missy Bass.aif
50 Nenas	                Smith & Smart		        S&S						                                                Rap	    84696244	479	    1	        1	                10	        10	                2009	28.12.17 10:41	28.12.17 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:S&S:10 50 Nenas.aif
