Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Allet Ja Ganz Dufte,Smith & Smart,,Anderdogs,,,,,,Rap,25081619,142,,,1,15,2013,"28.12.17, 10:47","28.12.17, 10:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:01 Allet Ja Ganz Dufte.aif
Crime Of The Smart,Smith & Smart,,Anderdogs,,,,,,Rap,42352354,240,,,2,15,2013,"28.12.17, 10:48","28.12.17, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:02 Crime Of The Smart.aif
Ponyhof,Smith & Smart,,Anderdogs,,,,,,Rap,42728663,242,,,3,15,2013,"28.12.17, 10:49","28.12.17, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:03 Ponyhof.aif
Macht Aber Nüscht,Smith & Smart,,Anderdogs,,,,,,Rap,38459813,218,,,4,15,2013,"28.12.17, 10:50","28.12.17, 10:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:04 Macht Aber Nüscht.aif
Die Welt Ist Ein Dorf,Smith & Smart,,Anderdogs,,,,,,Rap,39809845,225,,,5,15,2013,"28.12.17, 10:51","28.12.17, 10:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:05 Die Welt Ist Ein Dorf.aif
Wo Soll Die Reise Eigentlich Hingehen?,Smith & Smart,,Anderdogs,,,,,,Rap,44836086,254,,,6,15,2013,"28.12.17, 10:51","28.12.17, 10:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:06 Wo Soll Die Reise Eigentlich Hingehen_.aif
Turn It Up (Live Im Cassiopeia/Berlin),Smith & Smart,,Anderdogs,,,,,,Rap,7008870,39,,,7,15,2013,"28.12.17, 10:51","28.12.17, 10:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:07 Turn It Up (Live Im Cassiopeia_Berlin).aif
Wer Bezahlt Das Taxi '13 (Rob Willis RMX),Smith & Smart,,Anderdogs,,,,,,Rap,36888681,209,,,8,15,2013,"28.12.17, 10:52","28.12.17, 10:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:08 Wer Bezahlt Das Taxi '13 (Rob Willis RMX).aif
Drei Tage Bar,Smith & Smart,,Anderdogs,,,,,,Rap,27946349,158,,,9,15,2013,"28.12.17, 10:52","28.12.17, 10:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:09 Drei Tage Bar.aif
U Turn 2 Disko,Smith & Smart,,Anderdogs,,,,,,Rap,43046191,244,,,10,15,2013,"28.12.17, 10:53","28.12.17, 10:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:10 U Turn 2 Disko.aif
Zungencoaching,Smith & Smart,,Anderdogs,,,,,,Rap,19262767,109,,,11,15,2013,"28.12.17, 10:53","28.12.17, 10:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:11 Zungencoaching.aif
Das Anderstatement,Smith & Smart,,Anderdogs,,,,,,Rap,9988835,56,,,12,15,2013,"28.12.17, 10:53","28.12.17, 10:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:12 Das Anderstatement.aif
Anders,Smith & Smart,,Anderdogs,,,,,,Rap,44368007,251,,,13,15,2013,"28.12.17, 10:54","28.12.17, 10:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:13 Anders.aif
Quality,Smith & Smart,,Anderdogs,,,,,,Rap,5186040,29,,,14,15,2013,"28.12.17, 10:54","28.12.17, 10:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:14 Quality.aif
"Born, School, Work, Death (Remastert)",Smith & Smart,,Anderdogs,,,,,,Rap,87849462,498,,,15,15,2013,"28.12.17, 10:55","28.12.17, 10:54",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Smith & Smart:Anderdogs:15 Born, School, Work, Death (Remastert).aif"
