Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Don Doggy,Snoop Dogg,Unknown,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,7751779,42,1,1,1,20,2002,"13.01.18, 12:18","13.01.18, 12:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:01 Don Doggy.aif
Da Boss Would Like To See You,Snoop Dogg,Nick Ashford/Valerie Simpson/Snoop Dogg/Eric Brooks,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,21329939,119,1,1,2,20,2002,"13.01.18, 12:18","13.01.18, 12:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:02 Da Boss Would Like To See You.aif
Stoplight,Snoop Dogg,Bootsy Collins/Soopafly/Bernie Worrell/David Drew/George Clinton,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,47279548,266,1,1,3,20,2002,"13.01.18, 12:18","13.01.18, 12:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:03 Stoplight.aif
Wasn't Your Fault,Snoop Dogg,L.T. Hutton/James Harris III/Snoop Dogg/Terry Lewis,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,47914584,270,1,1,10,20,2002,"13.01.18, 12:18","13.01.18, 12:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:10 Wasn't Your Fault.aif
Bo$$ Playa,Snoop Dogg,"Frederick Nassar/Snoop Dogg/D.Campbell/Tyrone Crum/Roger Parker/Clarence Satchell/Ralph Aikens/Robert Neal,Jr./Shy Felder/Keith Harrison",Paid Tha Cost To Be Da Bo$$,,,,,,Rap,62621718,353,1,1,11,20,2002,"13.01.18, 12:18","13.01.18, 12:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:11 Bo$$ Playa.aif
The One And Only,Snoop Dogg,Keith Shocklee/Charles Glenn/E-White/George Clinton/Gary Marshall Shider/Francois De Roubaix/David L. Spradley/Melvin Charles Bradford/Chris Martin/O'Shea Jackson/Snoop Dogg/Xzibit/David Axelrod/Dr. Dre/Lorenzo Patterson/Eric Sadler/Tracy Marrow/Leo Graha,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,40842323,229,1,1,13,20,2002,"13.01.18, 12:18","13.01.18, 12:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:13 The One And Only.aif
Suited N Booted,Snoop Dogg,Mallia Franklin/Meech Wells/Snoop Dogg,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,34868025,196,1,1,16,20,2002,"13.01.18, 12:18","13.01.18, 12:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:16 Suited N Booted.aif
A Message 2 Fat Cuzz,Snoop Dogg,Snoop Dogg,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,18015922,100,1,1,19,20,2002,"13.01.18, 12:18","13.01.18, 12:13",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:19 A Message 2 Fat Cuzz.aif
Pimp Slapp'd,Snoop Dogg,Nile Rodgers/Bootsy Collins/Bernie Worrell/George Clinton/Snoop Dogg/Norman Anthony Durham/David Marvin Blake/Bernard Edwards/Josef Leimberg,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,49673964,280,1,1,20,20,2002,"13.01.18, 12:18","13.01.18, 12:13",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:20 Pimp Slapp'd.aif
I Miss That Bitch,Snoop Dogg Feat. E-White,Marvin Yancy/Tony Cottrell/Jerry Butler/Snoop Dogg/E-White,Paid Tha Cost To Be Da Bo$$,,,,,,Rap,34225965,192,1,1,14,20,2002,"13.01.18, 12:18","13.01.18, 12:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Paid Tha Cost To Be Da Bo$$:14 I Miss That Bitch.aif
