Name	                            Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro[Live]	                        Snoop Dogg		        The Chronicalz						                                            Rap	    5818372	    31	    1	        1	                1	        16	                2006	13.01.18 11:58	13.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:01 Intro[Live].aif
Nuthing But A G Thang [Live]	    Snoop Dogg		        The Chronicalz						                                            Rap	    41667573	234	    1	        1	                2	        16	                2006	13.01.18 11:58	13.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:02 Nuthing But A G Thang [Live].aif
Lil' Ghetto Boy [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    40719711	229	    1	        1	                3	        16	                2006	13.01.18 11:58	13.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:03 Lil' Ghetto Boy [Live].aif
2 Of Americas Most Wanted [Live]	Snoop Dogg		        The Chronicalz						                                            Rap	    39706009	223	    1	        1	                4	        16	                2006	13.01.18 11:58	13.01.18 11:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:04 2 Of Americas Most Wanted [Live].aif
It Blows My Mind [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    48702400	274	    1	        1	                5	        16	                2006	13.01.18 11:58	13.01.18 11:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:05 It Blows My Mind [Live].aif
Let's Exchange Hoez [Live]	        Snoop Dogg		        The Chronicalz						                                            Rap	    46143427	259	    1	        1	                6	        16	                2006	13.01.18 11:58	13.01.18 11:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:06 Let's Exchange Hoez [Live].aif
Wanna Hump You [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    46872542	264	    1	        1	                7	        16	                2006	13.01.18 11:58	13.01.18 11:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:07 Wanna Hump You [Live].aif
Where The Hoes At [Live]	        Snoop Dogg		        The Chronicalz						                                            Rap	    27854273	156	    1	        1	                8	        16	                2006	13.01.18 11:58	13.01.18 11:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:08 Where The Hoes At [Live].aif
Whoop Your Ass [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    29862878	167	    1	        1	                9	        16	                2006	13.01.18 11:58	13.01.18 11:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:09 Whoop Your Ass [Live].aif
Tel It! [Live]	                    Snoop Dogg		        The Chronicalz						                                            Rap	    38365352	215	    1	        1	                10      	16              	2006	13.01.18 11:58	13.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:10 Tel It! [Live].aif
Getcha Girl Dogg [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    55645505	313	    1	        1	                11      	16              	2006	13.01.18 11:58	13.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:11 Getcha Girl Dogg [Live].aif
Can't Stop That Gangsta Shit [Live]	Snoop Dogg		        The Chronicalz						                                            Rap	    41018429	230	    1	        1	                12      	16              	2006	13.01.18 11:58	13.01.18 11:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:12 Can't Stop That Gangsta Shit [Live].aif
Angry Tonite [Live]	                Snoop Dogg		        The Chronicalz						                                            Rap	    32217229	181	    1	        1	                13      	16              	2006	13.01.18 11:58	13.01.18 11:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:13 Angry Tonite [Live].aif
Straigth Ballin' [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    28849169	161	    1	        1	                14      	16              	2006	13.01.18 11:58	13.01.18 11:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:14 Straigth Ballin' [Live].aif
Freaky Lil' [Live]	                Snoop Dogg		        The Chronicalz						                                            Rap	    38798124	218	    1	        1	                15      	16              	2006	13.01.18 11:58	13.01.18 11:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:15 Freaky Lil' [Live].aif
Vote For Snoop [Live]	            Snoop Dogg		        The Chronicalz						                                            Rap	    31205871	175	    1	        1	                16      	16              	2006	13.01.18 11:58	13.01.18 11:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Snoop Dogg:The Chronicalz:16 Vote For Snoop [Live].aif
