Name	                        Künstler	        Komponist	                Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Dear Lover	                    Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	50083570	283	    1	        1	                1	        12	                1996	26.12.17 11:17	26.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:01 Dear Lover.aif
Don't Drag Me Down	            Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	40795530	230	    1	        1	                2	        12	                1996	26.12.17 11:17	26.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:02 Don't Drag Me Down.aif
Untitled	                    Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	50483408	285	    1	        1	                3	        12	                1996	26.12.17 11:17	26.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:03 Untitled.aif
I Was Wrong	                    Social Distortion	Mike Ness	                White Light White Heat White Trash						                                            Punk	42218486	238	    1	        1	                4	        12	                1996	26.12.17 11:17	26.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:04 I Was Wrong.aif
Through These Eyes	            Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	34579194	195	    1	        1	                5	        12	                1996	26.12.17 11:17	26.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:05 Through These Eyes.aif
Down On The World Again	        Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	35748143	202	    1	        1	                6	        12	                1996	26.12.17 11:17	26.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:06 Down On The World Again.aif
When Angels Sing	            Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	45080872	255	    1	        1	                7	        12	                1996	26.12.17 11:17	26.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:07 When Angels Sing.aif
Gotta Know The Rules	        Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	36785372	208	    1	        1	                8	        12	                1996	26.12.17 11:17	26.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:08 Gotta Know The Rules.aif
Crown Of Thorns	                Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	45163191	255	    1	        1	                9	        12	                1996	26.12.17 11:17	26.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:09 Crown Of Thorns.aif
Pleasure Seeker	                Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	37641498	213	    1	        1	                10	        12	                1996	26.12.17 11:17	26.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:10 Pleasure Seeker.aif
Down Here (With The Rest Of Us)	Social Distortion	M.Ness	                    White Light White Heat White Trash						                                            Punk	45911146	259	    1	        1	                11	        12	                1996	26.12.17 11:17	26.12.17 11:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:11 Down Here (With The Rest Of Us).aif
Under My Thumb	                Social Distortion	Mick Jagger/Keith Richards	White Light White Heat White Trash						                                            Punk	30032797	169	    1	        1	                12	        12	                1996	26.12.17 11:17	26.12.17 11:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:White Light White Heat White Trash:12 Under My Thumb.aif
