Name	                        Künstler	        Komponist	        Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Reach For The Sky	            Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	37405641	211	    1	        1	                1	        11	                2004	26.12.17 12:51	26.12.17 12:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:01 Reach For The Sky.aif
Highway 101	                    Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	39684723	224	    1	        1	                2	        11	                2004	26.12.17 12:51	26.12.17 12:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:02 Highway 101.aif
Don't Take Me For Granted	    Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	40228049	227	    1	        1	                3	        11	                2004	26.12.17 12:51	26.12.17 12:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:03 Don't Take Me For Granted.aif
Footprints On My Ceiling	    Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	54575248	308	    1	        1	                4	        11	                2004	26.12.17 12:51	26.12.17 12:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:04 Footprints On My Ceiling.aif
Nickels And Dimes	            Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	32713401	185	    1	        1	                5	        11	                2004	26.12.17 12:51	26.12.17 12:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:05 Nickels And Dimes.aif
I Wasn't Born To Follow	        Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	31041135	175	    1	        1	                6	        11	                2004	26.12.17 12:51	26.12.17 12:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:06 I Wasn't Born To Follow.aif
Winners And Losers	            Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	50428666	285	    1	        1	                7	        11	                2004	26.12.17 12:51	26.12.17 12:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:07 Winners And Losers.aif
Faithless	                    Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	32214769	182	    1	        1	                8	        11	                2004	26.12.17 12:51	26.12.17 12:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:08 Faithless.aif
Live Before You Die	            Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	29676971	167	    1	        1	                9	        11	                2004	26.12.17 12:51	26.12.17 12:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:09 Live Before You Die.aif
Angel's Wings	                Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	52997048	300	    1	        1	                10	        11	                2004	26.12.17 12:51	26.12.17 12:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:10 Angel's Wings.aif
Mommy's Little Monster (Live)	Social Distortion	Social Distortion	Sex,Love And Rock 'n' Roll						                                            Punk	38348808	216	    1	        1	                11	        11	                2005	26.12.17 12:51	26.12.17 12:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Sex,Love And Rock 'n' Roll:11 Mommy's Little Monster (Live).aif
