Name	                        Künstler	        Komponist	    Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	    Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Road Zombie	                    Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	25006371	141	    1	        1	                1	        11	                2011	26.12.17 12:41	26.12.17 12:36	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:01 Road Zombie.aif
California (Hustle And Flow)	Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	52931684	299	    1	        1	                2	        11	                2011	26.12.17 12:41	26.12.17 12:36	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:02 California (Hustle And Flow).aif
Gimme The Sweet And Lowdown	    Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	35802067	202	    1	        1	                3	        11	                2011	26.12.17 12:41	26.12.17 12:37	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:03 Gimme The Sweet And Lowdown.aif
Diamond In The Rough	        Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	48575772	274	    1	        1	                4	        11	                2011	26.12.17 12:41	26.12.17 12:37	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:04 Diamond In The Rough.aif
Machine Gun Blues	            Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	37688361	213	    1	        1	                5	        11	                2011	26.12.17 12:41	26.12.17 12:37	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:05 Machine Gun Blues.aif
Bakersfield	                    Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	67958595	384	    1	        1	                6	        11	                2011	26.12.17 12:41	26.12.17 12:38	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:06 Bakersfield.aif
Far Side Of Nowhere	            Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	36909851	208	    1	        1	                7	        11	                2011	26.12.17 12:41	26.12.17 12:38	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:07 Far Side Of Nowhere.aif
Alone And Forsaken	            Social Distortion	Hank Williams	Hard Times And Nursery Rhymes						                                            Punk	42848654	242	    1	        1	                8	        11	                2011	26.12.17 12:41	26.12.17 12:38	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:08 Alone And Forsaken.aif
Writing On The Wall	            Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	53202155	301	    1	        1	                9	        11	                2011	26.12.17 12:41	26.12.17 12:39	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:09 Writing On The Wall.aif
Can't Take It With You	        Social Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	53282127	301	    1	        1	                10	        11	                2011	26.12.17 12:41	26.12.17 12:39	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:10 Can't Take It With You.aif
Still Alive	S                   ocial Distortion	Mike Ness	    Hard Times And Nursery Rhymes						                                            Punk	43281412	244	    1	        1	                11	        11	                2011	26.12.17 12:41	26.12.17 12:39	1411	44100		                            AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Hard Times And Nursery Rhymes:11 Still Alive.aif
